t_s,uc
0.126000,1094.1520
0.376000,1094.2320
0.626000,1094.3360
0.876000,1093.6480
1.126000,1094.4080
1.376000,1094.5840
1.626000,1094.1840
1.876000,1087.4080
2.126000,1083.0160
2.376000,1080.6560
2.626000,1079.8000
2.876000,1079.5200
3.126000,1079.9040
3.376000,1080.0720
3.626000,1079.3680
3.876000,1079.3600
4.126000,1079.5440
4.376000,1079.5520
4.626000,1079.2160
4.876000,1078.7840
5.126000,1074.0640
5.376000,1073.7840
5.626000,1073.7200
5.876000,1073.7760
6.126000,1074.0080
6.376000,1073.3920
6.626000,1073.6080
6.876000,1072.8160
7.126000,1073.9200
7.376000,1073.5280
7.626000,1073.3360
7.876000,1073.1200
8.126000,1073.2160
8.376000,1073.4880
8.626000,1073.1600
8.876000,1074.5120
9.126000,1073.4400
9.376000,1073.5440
9.626000,1072.7200
9.876000,1072.7280
10.126000,1072.8080
10.376000,1072.4720
10.626000,1073.2880
10.876000,1072.9360
11.126000,1072.6800
11.376000,1072.8000
11.626000,1073.4960
11.876000,1074.2800
12.126000,1073.8960
12.376000,1073.4560
12.626000,1073.4640
12.876000,1073.4320
13.126000,1073.7920
13.376000,1073.7280
13.626000,1073.7360
13.876000,1073.8400
14.126000,1074.2720
14.376000,1074.1440
14.626000,1073.7040
14.876000,1073.6800
15.126000,1073.8800
15.376000,1073.4240
15.626000,1073.5280
15.876000,1073.6080
16.126000,1073.6400
16.376000,1073.8000
16.626000,1073.8240
16.876000,1073.7760
17.126000,1074.1920
17.376000,1074.0800
17.626000,1073.9920
17.876000,1074.6960
18.126000,1074.6800
18.376000,1074.5600
18.626000,1075.0640
18.876000,1076.3680
19.126000,1076.0880
19.376000,1076.7840
19.626000,1076.3520
19.876000,1076.7600
20.126000,1076.3440
20.376000,1076.8480
20.626000,1076.4400
20.876000,1075.9920
21.126000,1077.9680
21.376000,1077.5520
21.626000,1078.1040
21.876000,1077.5760
22.126000,1078.5040
22.376000,1077.7760
22.626000,1077.0080
22.876000,1077.8320
23.126000,1077.8560
23.376000,1077.5840
23.626000,1078.3760
23.876000,1077.8080
24.126000,1078.7520
24.376000,1078.2240
24.626000,1078.6800
24.876000,1077.6320
25.126000,1078.2000
25.376000,1078.1040
25.626001,1078.7520
25.876000,1078.5920
26.126000,1078.9520
26.376000,1078.9120
26.626000,1078.1520
26.876001,1078.7920
27.126000,1078.0240
27.376000,1077.8800
27.626000,1077.5600
27.876000,1078.6960
28.126000,1077.4240
28.376000,1078.4000
28.626000,1078.1920
28.876000,1077.2560
29.126000,1077.4160
29.376000,1079.0720
29.626000,1077.8400
29.876000,1077.8640
30.126000,1078.2080
30.376000,1077.3600
30.626000,1077.4000
30.876000,1079.1120
31.126000,1078.8320
31.376000,1078.0640
31.626000,1078.6880
31.876000,1077.2640
32.126000,1078.1040
32.376000,1076.8000
32.626000,1077.1760
32.876000,1077.8000
33.126000,1077.9600
33.376000,1078.6240
33.626000,1078.9920
33.876000,1078.3200
34.126000,1078.2960
34.376000,1078.2240
34.626000,1078.7440
34.876000,1077.4240
35.126000,1078.0400
35.376000,1078.0880
35.626000,1077.5120
35.876000,1077.6640
36.126000,1077.5280
36.376000,1078.0400
36.626000,1077.0880
36.876000,1077.1920
37.126000,1077.8240
37.376000,1076.5280
37.626000,1076.5120
37.876000,1076.9040
38.126000,1076.4080
38.376000,1077.0720
38.626000,1076.6080
38.876000,1076.6080
39.126000,1075.9280
39.376000,1076.6480
39.626000,1077.0800
39.876000,1077.2160
40.126000,1076.5120
40.376000,1075.9280
40.626000,1076.9200
40.876000,1076.2960
41.126000,1076.5360
41.376000,1076.2480
41.626000,1076.6480
41.876000,1076.3120
42.126000,1075.9920
42.376000,1076.8400
42.626000,1076.5120
42.876000,1077.4320
43.126000,1076.8080
43.376000,1077.6000
43.626000,1076.9680
43.876000,1076.9520
44.126000,1078.2320
44.376000,1077.7280
44.626000,1076.6640
44.876000,1079.3520
45.126000,1077.2320
45.376000,1077.4320
45.626000,1077.1600
45.876000,1076.6400
46.126000,1077.0960
46.376000,1076.9840
46.626000,1078.5520
46.876000,1077.0640
47.126000,1077.0960
47.376001,1077.5440
47.626000,1077.4880
47.876000,1078.0560
48.126000,1076.7920
48.376000,1077.6880
48.626000,1077.9440
48.876000,1076.6880
49.126000,1077.6800
49.376000,1077.1760
49.626000,1077.3840
49.876001,1077.6720
50.126000,1077.6000
50.376000,1078.4800
50.626000,1078.1440
50.876000,1078.0800
51.126000,1077.2000
51.376000,1077.9600
51.626000,1077.9920
51.876000,1078.0080
52.126000,1077.5760
52.376000,1078.4320
52.626000,1077.6720
52.876000,1077.9200
53.126000,1078.0640
53.376000,1078.2080
53.626000,1078.3040
53.876000,1077.7520
54.126000,1076.9040
54.376000,1077.3840
54.626000,1077.1280
54.876000,1077.5680
55.126000,1077.9120
55.376000,1078.0720
55.626000,1078.0800
55.876000,1078.9440
56.126000,1077.5360
56.376000,1078.9840
56.626000,1076.9440
56.876000,1076.9760
57.126000,1077.7120
57.376000,1075.8880
57.626000,1076.4400
57.876000,1077.4640
58.126000,1077.6160
58.376000,1077.3120
58.626000,1077.1600
58.876000,1077.7280
59.126000,1076.1360
59.376000,1076.9040
59.626000,1077.5600
59.876000,1076.7760
60.126000,1077.3040
60.376000,1078.1120
60.626000,1076.7440
60.876000,1076.6320
61.126000,1077.6880
61.376000,1076.4400
61.626000,1077.7280
61.876000,1077.4960
62.126000,1076.5760
62.376000,1076.7600
62.626000,1076.0960
62.876000,1088.4320
63.126000,1447.5200
63.376000,1537.4400
63.626000,1600.2560
63.876000,1613.7280
64.126000,1712.0960
64.376000,1725.9520
64.626000,1737.7120
64.876000,1759.0640
65.126000,1753.7040
65.376000,1753.2240
65.626000,1817.1520
65.876000,1852.3040
66.126000,1862.4160
66.376000,1910.9520
66.626000,1954.9280
66.876000,2053.9840
67.126000,2030.2640
67.376000,2048.9840
67.626000,2046.0080
67.876000,1952.4800
68.126000,1943.1440
68.376000,1944.7360
68.626000,1953.2480
68.876000,1958.0400
69.126000,1957.1680
69.376000,1958.4080
69.626000,1935.5680
69.876000,1972.3120
70.126000,1961.5840
70.376000,1973.5360
70.626000,1969.4800
70.876001,1986.6080
71.126000,2079.3600
71.376000,2119.4240
71.626000,2148.6800
71.876000,2185.5280
72.126000,2196.8880
72.376000,2202.8080
72.626000,2216.1440
72.876000,2230.7440
73.126000,2234.9840
73.376000,2234.9600
73.626000,2256.7520
73.876000,2257.1840
74.126000,2226.8560
74.376000,2198.2800
