t_s,uc
0.126000,1357.8080
0.376000,1357.6960
0.626000,1356.5600
0.876000,1358.3440
1.126000,1357.9280
1.376000,1357.8560
1.626000,1357.9520
1.876000,1357.7600
2.126000,1357.8560
2.376000,1357.5440
2.626000,1357.7200
2.876000,1357.5360
3.126000,1358.0960
3.376000,1358.6080
3.626000,1358.8640
3.876000,1358.3600
4.126000,1358.4800
4.376000,1358.6080
4.626000,1358.5040
4.876000,1358.9600
5.126000,1358.5120
5.376000,1358.8240
5.626000,1359.4640
5.876000,1358.7520
6.126000,1359.1040
6.376000,1359.3200
6.626000,1359.1680
6.876000,1359.2640
7.126000,1358.9440
7.376000,1357.9760
7.626000,1359.0880
7.876000,1359.1520
8.126000,1359.2960
8.376000,1359.0640
8.626000,1359.0560
8.876000,1359.4160
9.126000,1359.3600
9.376000,1358.8160
9.626000,1359.1760
9.876000,1358.5280
10.126000,1358.6000
10.376000,1358.1360
10.626000,1358.5280
10.876000,1358.7280
11.126000,1360.6080
11.376000,1361.1440
11.626000,1348.9840
11.876000,1348.2240
12.126000,1419.9040
12.376000,1576.2400
12.626000,1596.8640
12.876000,1625.7040
13.126000,1651.6640
13.376000,1677.9760
13.626000,1694.1360
13.876000,1703.5440
14.126000,1734.4080
14.376000,1773.1040
14.626000,1786.9520
14.876000,1807.4000
15.126000,1832.4720
15.376000,1842.6640
15.626000,1848.1040
15.876000,1852.6640
16.126000,1857.9040
16.376000,1862.2640
16.626000,1863.3600
16.876000,1862.6400
17.126000,1868.0800
17.376000,1870.4720
17.626000,1874.3920
17.876000,1898.0400
18.126000,1905.1840
18.376000,1907.3920
18.626000,1919.0400
18.876000,1936.0000
19.126000,1959.3120
19.376000,1967.5600
19.626000,1973.8480
19.876000,1981.9360
20.126000,1987.0240
20.376000,1990.4720
20.626000,1991.6720
20.876000,1990.7440
21.126000,1973.7680
21.376000,1976.5440
21.626000,1984.4160
21.876000,1982.9440
22.126000,1996.6720
22.376000,2006.8160
22.626000,2021.1200
22.876000,2029.0880
23.126000,2033.9040
23.376000,2040.9040
23.626000,2052.4240
23.876000,2065.5920
24.126000,2068.7360
24.376000,2073.9120
24.626000,2082.1360
24.876000,2084.8160
25.126000,2087.2800
25.376000,2087.8080
25.626000,2090.2800
25.876000,2091.4400
26.126000,2094.1520
26.376000,2096.8480
26.626000,2097.4880
26.876000,2098.5920
27.126000,2097.8240
27.376000,2096.6000
27.626000,2090.5200
27.876000,2072.1760
28.126000,2064.4800
28.376000,2066.8000
28.626000,2064.5280
28.876000,2038.1520
29.126000,2023.5440
29.376000,2022.0640
29.626000,2020.8080
29.876000,2014.3920
30.126000,2009.1760
30.376000,2005.2160
30.626000,2003.9680
30.876000,2005.2640
31.126000,2009.3120
31.376000,2012.1680
31.626000,1988.1600
31.876000,1983.5120
32.126000,1982.9200
32.376000,1967.4800
32.626000,1957.8880
32.876000,1957.8560
33.126000,1951.9920
33.376000,1959.0000
33.626000,1956.1600
33.876000,1951.3680
34.126000,1949.1040
34.376000,1950.8880
34.626000,1956.0240
34.876000,1963.8160
35.126000,1968.2960
35.376000,1977.5360
35.626000,1983.3680
35.876000,1984.1200
36.126000,1994.9680
36.376000,1996.6720
36.626000,1983.8800
36.876000,1985.5440
37.126000,1985.9200
37.376000,1991.3840
37.626000,1996.8320
37.876000,1999.8640
38.126000,1998.5120
38.376000,2000.5520
38.626000,1999.1520
38.876000,1999.0000
39.126000,1997.8560
39.376000,1994.3440
39.626000,1998.4000
39.876000,2004.6800
40.126000,2007.4480
40.376000,1993.9040
40.626000,1981.3840
40.876000,1988.3120
41.126000,1993.4960
41.376000,1984.6960
41.626000,1986.3200
41.876000,1983.1040
42.126000,1979.2400
42.376000,1979.8400
42.626000,1975.8800
42.876000,1979.4160
43.126000,1982.6480
43.376000,1980.7920
43.626000,1978.5040
43.876000,1995.6640
44.126000,1998.9840
44.376000,1999.5840
44.626000,2000.7520
44.876000,2001.4480
45.126000,2001.4480
45.376000,1998.0800
45.626000,1991.4480
45.876000,1987.5360
46.126000,1977.9600
46.376000,1970.1200
46.626000,1958.2160
46.876000,1944.5680
47.126000,1915.5120
47.376000,1888.3520
47.626000,1874.9200
47.876000,1857.0480
48.126000,1845.0080
48.376000,1847.7440
48.626000,1841.4560
48.876000,1829.3840
49.126000,1807.2160
49.376000,1797.3760
49.626000,1786.8400
49.876000,1777.5840
50.126000,1762.1200
50.376000,1718.1680
50.626000,1685.9360
50.876000,1713.0160
51.126000,1712.7520
51.376000,1668.8080
51.626000,1666.1840
51.876000,1668.9520
52.126000,1675.7760
52.376000,1672.2400
52.626000,1666.4960
52.876000,1598.6560
53.126000,1587.4880
53.376000,1589.4160
53.626000,1605.2400
53.876000,1590.3680
54.126000,1576.1520
54.376000,1568.8880
54.626000,1570.2000
54.876000,1548.9680
55.126000,1475.9520
55.376000,1473.5040
55.626000,1452.4880
55.876000,1416.0880
56.126000,1414.9440
56.376000,1408.1440
56.626000,1400.4880
56.876000,1408.6400
57.126000,1420.9280
57.376000,1422.6160
57.626000,1426.5040
57.876000,1426.8400
58.126000,1419.1360
58.376000,1415.8640
