t_s,uc
0.126000,1433.4640
0.376000,1435.4240
0.626000,1434.8080
0.876000,1433.0800
1.126000,1433.9680
1.376000,1433.5360
1.626000,1432.7520
1.876000,1433.0160
2.126000,1432.8640
2.376000,1432.6080
2.626000,1431.6800
2.876000,1433.6560
3.126000,1432.4080
3.376000,1432.9680
3.626000,1433.5840
3.876000,1433.7600
4.126001,1434.0960
4.376001,1434.6960
4.626000,1433.0400
4.876000,1433.1120
5.126000,1433.4720
5.376000,1433.9680
5.626000,1433.9920
5.876000,1433.8720
6.126001,1434.4080
6.376000,1434.1840
6.626000,1432.8880
6.876000,1434.5120
7.126001,1433.4160
7.376000,1433.8080
7.626001,1434.1680
7.876001,1435.1680
8.126000,1433.2480
8.376000,1433.6480
8.626000,1434.0240
8.876000,1435.3280
9.126000,1433.2640
9.376000,1434.4080
9.626000,1434.4800
9.876000,1435.0160
10.126000,1433.8720
10.376000,1434.6080
10.626000,1434.2160
10.876000,1435.1600
11.126000,1435.3200
11.376000,1434.8960
11.626000,1432.9040
11.876000,1433.6640
12.126000,1433.3920
12.376000,1432.2320
12.626000,1433.8320
12.876000,1433.6880
13.126000,1433.8320
13.376000,1433.5520
13.626000,1434.1040
13.876000,1433.6800
14.126000,1432.5280
14.376000,1433.5680
14.626000,1434.7040
14.876000,1433.4640
15.126000,1434.2880
15.376001,1433.5920
15.626000,1433.3840
15.876000,1433.5040
16.126000,1434.9280
16.376000,1432.9920
16.626000,1433.1360
16.876000,1432.8320
17.126000,1433.3920
17.376000,1432.8640
17.626001,1433.1600
17.876000,1433.2800
18.126000,1433.2640
18.376000,1432.3920
18.626001,1433.4960
18.876000,1431.7920
19.126000,1431.4160
19.376000,1431.5280
19.626000,1431.8400
19.876000,1430.8480
20.126001,1432.1680
20.376000,1431.1680
20.626000,1432.3200
20.876000,1432.3520
21.126000,1431.8560
21.376001,1431.1600
21.626000,1430.6320
21.876000,1431.0160
22.126001,1480.8480
22.376000,1569.5920
22.626000,1631.4400
22.876000,1704.3040
23.126000,1678.8960
23.376000,1711.6560
23.626000,1723.2400
23.876001,1730.0320
24.126000,1734.3280
24.376000,1756.6000
24.626000,1782.5280
24.876000,1782.2240
25.126000,1811.6320
25.376000,1818.8880
25.626000,1798.2560
25.876000,1801.1440
26.126000,1810.3360
26.376000,1823.4480
26.626000,1811.6880
26.876000,1817.1680
27.126000,1823.4000
27.376000,1848.5600
27.626000,1855.8640
27.876001,1859.3440
28.126000,1922.9360
28.376000,1873.6320
28.626000,1868.9040
28.876000,1935.5040
29.126000,1893.6000
29.376000,1874.4000
29.626000,1882.8480
29.876000,1892.8800
30.126000,1906.1120
30.376000,1900.1760
30.626000,1919.9840
30.876000,1968.1440
31.126000,2003.4640
31.376001,1952.4880
31.626000,1930.8640
31.876000,2008.1040
32.126000,2058.1680
32.376000,2073.9200
32.626000,2101.4160
32.876000,2122.4080
33.126000,2113.8560
33.376000,2125.9600
33.626000,2164.0560
33.876000,2192.4160
34.126000,2207.6640
34.376000,2231.2640
34.626000,2207.6800
34.876000,2195.2240
35.126000,2234.5600
35.376000,2248.5200
35.626000,2272.0960
35.876000,2279.7840
36.126000,2280.8720
36.376000,2295.5360
36.626000,2314.6720
36.876000,2344.2720
37.126000,2366.7040
37.376000,2367.0320
37.626000,2340.6000
37.876000,2362.1040
38.126000,2344.2960
38.376000,2327.9840
38.626000,2315.7440
38.876000,2316.5360
39.126000,2342.0800
39.376000,2348.2080
39.626000,2364.0320
39.876000,2393.4960
40.126000,2409.8000
40.376000,2404.3840
40.626001,2405.0400
40.876000,2415.0640
41.126000,2415.5760
41.376000,2407.3760
41.626000,2394.3280
41.876000,2394.9520
42.126000,2394.2160
42.376000,2378.2560
42.626001,2375.3920
42.876000,2358.5600
43.126000,2355.5840
43.376000,2362.3680
43.626000,2373.6560
43.876000,2376.2880
44.126000,2371.7600
44.376000,2374.2720
44.626000,2368.3840
44.876000,2380.2080
45.126000,2384.8240
45.376000,2395.3920
45.626000,2380.3200
45.876000,2380.4560
46.126000,2367.5360
46.376000,2380.6240
46.626000,2389.6640
46.876000,2403.5520
47.126000,2398.6720
47.376001,2403.6160
47.626000,2406.3840
47.876000,2413.2160
48.126000,2390.2720
48.376001,2355.6160
48.626000,2345.6160
48.876000,2333.5600
49.126000,2343.1840
49.376000,2338.8720
49.626001,2321.9680
49.876000,2323.6560
50.126000,2364.4240
50.376000,2379.4400
50.626000,2395.7360
50.876000,2399.3840
51.126000,2380.3840
51.376000,2355.1120
51.626000,2368.8320
51.876000,2392.6960
52.126000,2402.3040
52.376000,2401.2080
52.626000,2393.3280
52.876000,2404.3200
53.126000,2393.0000
53.376000,2398.5280
53.626000,2399.7760
53.876000,2394.3440
54.126000,2399.6640
54.376000,2395.6480
54.626001,2393.2560
54.876000,2392.6960
55.126000,2391.8480
55.376000,2390.9280
55.626000,2400.0320
55.876000,2389.0960
56.126000,2394.2240
56.376000,2406.6640
56.626000,2401.0080
56.876000,2413.4560
57.126000,2402.3840
57.376000,2383.3440
57.626000,2387.5040
57.876000,2390.5680
58.126000,2388.5680
58.376000,2379.3680
58.626000,2383.4960
58.876000,2407.2640
59.126000,2414.4560
59.376000,2421.0720
59.626000,2414.3440
59.876000,2415.0400
60.126000,2419.7840
60.376000,2420.0720
60.626000,2404.0960
60.876000,2374.6560
61.126000,2380.1200
61.376001,2392.9680
61.626000,2407.5840
61.876000,2417.0000
62.126000,2413.1360
62.376000,2406.8000
62.626000,2398.3840
62.876000,2376.4160
63.126000,2361.6160
63.376000,2367.1760
63.626000,2351.0880
63.876000,2325.2560
64.126000,2327.6560
64.376000,2357.7440
64.626000,2388.2000
64.876000,2392.5680
65.126000,2390.2640
65.376000,2376.1680
65.626000,2224.3280
65.876000,2089.0080
66.126000,1923.7360
66.376000,1789.7920
66.626000,1755.0400
66.876000,1750.3680
67.126000,1784.2800
67.376000,1806.6720
67.626000,1822.1600
67.876000,1818.5520
68.126000,1811.6800
68.376000,1812.9200
68.626000,1805.0240
68.876000,1782.5840
69.126000,1757.6080
69.376000,1761.1680
69.626000,1760.4560
69.876000,1768.7280
70.126000,1724.1280
70.376000,1699.2240
70.626000,1671.0160
70.876000,1668.6800
71.126000,1670.0240
71.376000,1682.6080
71.626000,1653.5200
71.876000,1631.8400
72.126000,1641.9440
72.376000,1677.5760
72.626000,1711.8560
72.876000,1753.0480
73.126000,1748.9760
73.376000,1758.6480
73.626000,1758.3280
73.876000,1743.5920
74.126000,1739.2560
74.376000,1755.4480
74.626000,1767.8880
74.876000,1750.1360
75.126000,1720.6320
75.376000,1693.5280
75.626000,1695.8560
75.876000,1686.1200
76.126000,1649.0240
76.376000,1668.3600
76.626000,1686.5280
76.876000,1684.8960
77.126000,1704.7360
77.376000,1659.2720
77.626000,1634.4960
77.876000,1635.9600
78.126000,1645.6000
78.376000,1648.0160
78.626000,1636.2640
78.876000,1624.7920
79.126000,1650.1440
79.376000,1637.4320
79.626000,1620.0800
79.876000,1616.0240
80.126000,1641.5200
80.376000,1596.1040
80.626000,1548.0080
80.876000,1571.8080
81.126000,1576.5840
81.376000,1562.7920
81.626001,1535.6480
81.876000,1572.0880
82.126000,1572.7760
82.376000,1571.4960
82.626000,1579.2000
82.876000,1589.0480
83.126000,1617.4800
83.376000,1582.7440
83.626000,1562.5120
83.876000,1633.6160
84.126000,1673.3360
84.376000,1664.1840
84.626000,1640.1600
84.876000,1583.8640
85.126000,1609.8240
85.376000,1535.0560
85.626000,1503.2000
85.876000,1495.4240
86.126000,1510.5200
86.376000,1507.7600
86.626000,1510.9840
86.876000,1508.6080
87.126000,1502.4480
87.376000,1502.3120
87.626000,1502.8480
87.876000,1502.8720
88.126000,1500.3280
88.376000,1500.0320
88.626000,1496.7920
88.876000,1494.4480
89.126000,1492.1280
89.376001,1488.6800
89.626000,1485.1680
89.876000,1485.2400
90.126000,1481.9680
90.376000,1478.7680
90.626000,1478.8560
90.876000,1485.9360
91.126000,1484.3440
