t_s,uc
0.126000,1437.8400
0.376000,1438.5360
0.626000,1438.0560
0.876000,1438.1440
1.126000,1438.1680
1.376000,1438.7040
1.626000,1438.4480
1.876000,1437.3920
2.126000,1439.1120
2.376000,1437.9600
2.626000,1437.6000
2.876000,1437.5120
3.126000,1439.1920
3.376000,1437.9840
3.626000,1438.6160
3.876000,1438.7280
4.126000,1438.6080
4.376000,1438.9120
4.626000,1437.8880
4.876000,1438.0960
5.126000,1438.4000
5.376000,1438.8000
5.626000,1438.1600
5.876000,1437.5200
6.126000,1439.5200
6.376000,1439.9040
6.626000,1438.1440
6.876000,1438.3440
7.126000,1439.0160
7.376000,1439.9040
7.626000,1439.8560
7.876000,1438.7520
8.126000,1439.9600
8.376000,1438.0400
8.626000,1439.8640
8.876000,1439.4000
9.126000,1439.8160
9.376000,1438.7600
9.626000,1438.5840
9.876000,1438.2080
10.126000,1439.3120
10.376000,1438.8720
10.626000,1438.9040
10.876000,1437.7280
11.126000,1439.2400
11.376000,1439.6160
11.626000,1440.3920
11.876000,1440.5280
12.126000,1439.7680
12.376000,1439.7040
12.626000,1441.6960
12.876000,1439.7760
13.126000,1439.2080
13.376000,1440.8080
13.626000,1441.2080
13.876000,1440.2400
14.126000,1439.5440
14.376000,1439.7200
14.626000,1439.5760
14.876000,1439.4640
15.126000,1439.5520
15.376000,1439.9680
15.626000,1439.4880
15.876000,1440.1040
16.126000,1440.4960
16.376000,1440.2560
16.626000,1440.0800
16.876000,1441.9200
17.126000,1440.5760
17.376000,1439.7280
17.626000,1439.7360
17.876000,1439.8400
18.126000,1441.0320
18.376000,1440.9280
18.626000,1440.9360
18.876000,1439.9520
19.126000,1439.9360
19.376000,1440.7440
19.626000,1441.1200
19.876000,1440.2960
20.126000,1440.7040
20.376000,1440.1920
20.626000,1442.6080
20.876000,1440.4640
21.126000,1441.1840
21.376000,1441.7280
21.626000,1442.4240
21.876000,1443.6160
22.126000,1476.6560
22.376000,1581.0240
22.626000,1699.4080
22.876000,1745.0160
23.126000,1768.8080
23.376000,1868.7360
23.626000,1843.5200
23.876000,1841.7440
24.126000,1857.2640
24.376000,1866.8560
24.626000,1883.8640
24.876000,1941.9760
25.126000,1970.4960
25.376000,1988.4720
25.626000,1994.9200
25.876000,2000.8640
26.126000,2003.6720
26.376000,2009.4800
26.626000,2001.5920
26.876000,2011.9440
27.126000,1983.5760
27.376000,1982.5920
27.626000,2027.7840
27.876000,2116.4720
28.126000,2205.3520
28.376000,2234.2480
28.626000,2259.0080
28.876000,2273.9040
29.126000,2282.7440
29.376000,2285.5680
29.626000,2286.7280
29.876000,2285.0880
30.126000,2270.4640
30.376000,2280.1120
30.626000,2286.0480
30.876000,2298.9440
31.126000,2302.2000
31.376000,2302.3760
31.626000,2311.9440
31.876000,2326.0080
32.126000,2339.1840
32.376000,2330.0400
32.626000,2329.7120
32.876000,2339.5040
33.126000,2350.7520
33.376000,2342.4000
33.626000,2335.9120
33.876000,2345.6400
34.126000,2351.8960
34.376000,2355.6480
34.626000,2376.2560
34.876000,2387.0000
35.126000,2404.2240
35.376000,2405.9200
35.626000,2410.8400
35.876000,2416.3760
36.126000,2418.5680
36.376000,2421.2960
36.626000,2422.9760
36.876000,2419.2320
37.126000,2417.9520
37.376000,2416.8960
37.626000,2426.3600
37.876000,2435.2880
38.126000,2440.3760
38.376000,2436.1120
38.626000,2446.5520
38.876000,2448.4080
39.126000,2451.3840
39.376000,2459.5920
39.626000,2447.7440
39.876000,2459.9200
40.126000,2485.4400
40.376000,2498.0160
40.626000,2486.0240
40.876000,2487.6640
41.126000,2490.2960
41.376000,2450.5040
41.626000,2442.3600
41.876000,2429.2960
42.126000,2417.3360
42.376000,2416.5360
42.626000,2413.8640
42.876000,2423.3280
43.126000,2425.2000
43.376000,2430.4400
43.626000,2431.5840
43.876000,2426.4560
44.126000,2403.5520
44.376000,2380.9840
44.626000,2386.3520
44.876000,2390.1200
45.126000,2385.6080
45.376000,2368.6400
45.626000,2336.2880
45.876000,2334.5120
46.126000,2328.0080
46.376000,2330.1200
46.626000,2333.5600
46.876000,2325.1600
47.126000,2317.7840
47.376000,2319.6240
47.626000,2324.2960
47.876000,2328.9040
48.126000,2332.9440
48.376000,2328.5520
48.626000,2324.2240
48.876000,2318.6880
49.126000,2317.8800
49.376000,2321.5840
49.626000,2321.5360
49.876000,2321.9520
50.126000,2324.6720
50.376000,2328.2240
50.626000,2323.7040
50.876000,2325.6160
51.126000,2336.3120
51.376000,2336.6240
51.626000,2331.2800
51.876000,2329.4080
52.126000,2323.2080
52.376000,2312.3600
52.626000,2320.7120
52.876000,2336.8880
53.126000,2358.1840
53.376000,2382.1440
53.626000,2380.3600
53.876000,2395.8000
54.126000,2400.4720
54.376000,2413.7840
54.626000,2416.1440
54.876000,2412.4320
55.126000,2405.9200
55.376000,2403.4960
55.626000,2413.2000
55.876000,2422.5360
56.126000,2428.5680
56.376000,2437.1920
56.626000,2445.1120
56.876000,2449.4080
57.126000,2452.2000
57.376000,2446.0560
57.626000,2446.5680
57.876000,2454.2800
58.126000,2448.3760
58.376000,2442.3440
58.626000,2451.6640
58.876000,2454.6480
59.126000,2461.3040
59.376000,2460.4160
59.626000,2464.9040
59.876000,2471.6800
60.126000,2479.1600
60.376000,2486.1920
60.626000,2483.1600
60.876000,2491.2320
61.126000,2503.1360
61.376000,2509.2640
61.626000,2512.4720
61.876000,2506.4320
62.126000,2496.7120
62.376000,2487.5360
62.626000,2448.2480
62.876000,2402.6720
63.126000,2384.3200
63.376000,2389.8720
63.626000,2401.1360
63.876000,2383.7600
64.126000,2367.3600
64.376000,2366.7360
64.626000,2368.3920
64.876000,2370.5520
65.126000,2367.9120
65.376000,2384.2480
65.626000,2368.4720
65.876000,2362.4560
66.126000,2367.7200
66.376000,2360.2320
66.626000,2337.1840
66.876000,2310.9440
67.126000,2236.7040
67.376000,2188.4880
67.626000,2209.1360
67.876000,2208.5520
68.126000,2133.4480
68.376000,2143.7440
68.626000,2105.5520
68.876000,1991.4480
69.126000,1943.1840
69.376000,1868.6640
69.626000,1887.0720
69.876000,1873.6480
70.126000,1801.6640
70.376000,1795.0800
70.626000,1778.2960
70.876000,1706.0080
71.126000,1626.1760
71.376000,1602.3600
71.626000,1609.2400
71.876000,1607.7040
72.126000,1593.7440
72.376000,1581.5120
72.626000,1568.0240
72.876000,1554.7920
73.126000,1571.6800
73.376000,1573.9680
73.626000,1597.6560
73.876000,1608.3360
74.126000,1607.6640
74.376000,1578.0720
74.626000,1582.4400
74.876000,1606.0480
75.126000,1569.5840
75.376000,1546.8320
75.626000,1570.8560
75.876000,1585.0960
76.126000,1579.1920
76.376000,1590.3440
76.626000,1593.4160
76.876000,1558.3840
77.126000,1580.9840
77.376000,1586.8960
77.626000,1600.4960
77.876000,1593.8880
78.126000,1575.3440
78.376000,1538.0720
78.626000,1523.2240
78.876000,1500.5760
79.126000,1504.3520
79.376000,1498.2480
79.626000,1510.3920
79.876000,1502.3120
80.126000,1489.1840
80.376000,1475.5360
80.626000,1463.5680
80.876000,1487.4960
81.126000,1485.5120
81.376000,1476.2000
81.626000,1495.7920
81.876000,1513.1840
82.126000,1480.7280
82.376000,1480.5040
82.626000,1486.5440
82.876000,1476.8880
83.126000,1487.9120
83.376000,1516.7680
83.626000,1481.9920
83.876000,1469.7040
84.126000,1465.3120
84.376000,1470.6880
84.626000,1457.0160
84.876000,1472.2640
85.126000,1488.3920
85.376000,1501.7760
85.626000,1463.4400
85.876000,1478.0960
86.126000,1474.0080
86.376000,1461.6160
86.626000,1457.8480
86.876000,1441.2800
87.126000,1442.4400
87.376000,1439.4720
87.626000,1435.8880
87.876000,1431.8080
88.126000,1433.6880
88.376000,1426.7360
88.626000,1423.5440
88.876000,1415.5440
89.126000,1411.2640
89.376000,1411.5760
89.626000,1411.7840
89.876000,1411.1680
90.126000,1411.4560
90.376000,1417.2320
90.626000,1424.9200
90.876000,1427.0800
91.126000,1429.4080
91.376000,1427.8160
91.626000,1428.7360
91.876000,1430.7120
92.126000,1430.8560
92.376000,1431.6960
92.626000,1432.2160
92.876000,1430.8560
93.126000,1429.2960
93.376000,1429.0400
93.626000,1427.8000
93.876000,1427.1600
94.126000,1427.7280
94.376000,1425.8480
94.626000,1425.3520
94.876000,1423.5920
95.126000,1423.4880
95.376000,1423.0960
95.626000,1426.3600
95.876000,1427.7760
96.126000,1428.5840
96.376000,1427.7920
96.626000,1427.3120
96.876000,1427.6720
97.126000,1427.2000
97.376000,1427.2560
97.626000,1427.9600
97.876000,1425.9040
98.126000,1422.8480
98.376000,1417.0480
98.626000,1408.0720
98.876000,1407.2240
99.126000,1406.2960
99.376000,1406.4400
99.626000,1407.5120
99.876000,1408.3520
100.126000,1405.2560
100.376000,1404.5920
100.626000,1402.9520
100.876000,1401.5840
101.126000,1399.4960
101.376000,1400.5440
101.626000,1399.2480
101.876000,1398.4400
102.126000,1397.8400
102.376000,1398.9920
102.626000,1398.5520
102.876000,1394.7760
103.126000,1390.3280
103.376000,1390.6560
103.626000,1389.9920
103.876000,1391.3920
104.126000,1389.6960
104.376000,1390.2320
104.626000,1389.5120
104.876000,1390.3760
