scheduled_s,host_s,device_us,device_s,phase,cycle
0.000,0.000,0,0.000,BASELINE,0
10.000,10.000,10010000,10.010,RAMP,1
25.000,25.000,25010000,25.010,HOLD,1
45.000,45.002,45012000,45.012,FALL,1
60.000,60.002,60012000,60.012,REST,1
