# mrisr_capture pcg=39@500 uc=35@4 decim=125 fs=500 att=11db uc=mean_of_125_as_sum
# 20260909_123317 tag=demo profile=demo validated_protocol=False
t_us,adc
4000,2026
6000,1975
8000,1867
10000,1776
12000,1805
14000,1941
16000,2055
18000,2018
20000,1899
22000,1817
24000,1859
26000,1955
28000,2022
30000,2001
32000,1943
34000,1876
36000,1831
38000,1808
40000,1827
42000,1866
44000,1907
46000,1943
48000,1955
50000,1937
52000,1907
54000,1899
56000,1924
58000,1977
60000,2021
62000,2009
64000,1956
66000,1885
68000,1842
70000,1833
72000,1838
74000,1855
76000,1893
78000,1936
80000,1936
82000,1872
84000,1823
86000,1860
88000,1973
90000,2085
92000,2096
94000,1998
96000,1890
98000,1851
100000,1879
102000,1905
104000,1890
106000,1861
108000,1845
110000,1856
112000,1865
114000,1883
116000,1934
118000,1965
120000,1966
122000,1930
124000,1909
126000,1927
128000,1935
130000,1927
132000,1926
134000,1937
136000,1936
138000,1903
140000,1866
142000,1884
144000,1946
146000,1985
148000,1957
150000,1874
152000,1807
154000,1789
156000,1852
158000,1954
160000,2030
162000,2015
164000,1964
166000,1930
168000,1899
170000,1843
172000,1791
174000,1797
176000,1870
178000,1968
180000,2026
182000,2014
184000,1969
186000,1921
188000,1885
190000,1882
192000,1913
194000,1939
196000,1947
198000,1936
200000,1930
202000,1907
204000,1857
206000,1791
208000,1778
210000,1850
212000,1964
214000,2036
216000,2032
218000,1955
220000,1872
222000,1850
224000,1904
226000,1963
228000,1972
230000,1925
232000,1863
234000,1857
236000,1898
238000,1941
240000,1943
242000,1905
244000,1866
246000,1862
248000,1898
250000,1962
252000,2002
254000,1974
256000,1887
258000,1821
260000,1872
262000,1981
264000,2023
266000,1936
268000,1795
270000,1761
272000,1891
274000,2034
276000,2032
278000,1936
280000,1894
282000,1861
284000,1781
286000,1792
288000,1981
290000,2139
292000,2032
294000,1812
296000,1749
298000,1872
300000,1969
302000,1966
304000,1919
306000,1905
308000,1920
310000,1931
312000,1934
314000,1905
316000,1854
318000,1813
320000,1843
322000,1951
324000,2032
326000,2003
328000,1877
330000,1795
332000,1855
334000,2064
336000,2159
338000,1999
340000,1718
342000,1600
344000,1733
346000,2013
348000,2223
350000,2190
352000,1921
354000,1633
356000,1565
358000,1775
360000,2086
362000,2241
364000,2103
366000,1790
368000,1615
370000,1739
372000,2015
374000,2171
376000,2085
378000,1883
380000,1776
382000,1825
384000,1942
386000,2027
388000,2019
390000,1930
392000,1825
394000,1786
396000,1824
398000,1890
400000,1937
402000,1962
404000,1958
406000,1937
408000,1907
410000,1887
412000,1889
414000,1933
416000,1973
418000,1959
420000,1890
422000,1831
424000,1839
426000,1895
428000,1947
430000,1959
432000,1948
434000,1952
436000,1949
438000,1905
440000,1837
442000,1809
444000,1856
446000,1936
448000,1983
450000,1964
452000,1921
454000,1909
456000,1936
458000,1967
460000,1959
462000,1925
464000,1881
466000,1861
468000,1861
470000,1860
472000,1872
474000,1904
476000,1936
478000,1953
480000,1952
482000,1929
484000,1904
486000,1888
488000,1904
490000,1955
492000,1995
494000,1953
496000,1855
498000,1778
500000,1824
502000,1945
504000,2042
506000,2029
508000,1919
510000,1827
512000,1835
514000,1917
516000,1979
518000,1964
520000,1903
522000,1862
524000,1877
526000,1946
528000,1982
530000,1951
532000,1872
534000,1819
536000,1829
538000,1888
540000,1947
542000,1971
544000,1953
546000,1903
548000,1899
550000,1936
552000,1946
554000,1941
556000,1906
558000,1856
560000,1841
562000,1855
564000,1903
566000,1959
568000,2000
570000,1993
572000,1959
574000,1925
576000,1893
578000,1877
580000,1887
582000,1902
584000,1898
586000,1875
588000,1859
590000,1874
592000,1915
594000,1945
596000,1958
598000,1938
600000,1904
602000,1881
604000,1915
606000,1953
608000,1943
610000,1913
612000,1916
614000,1933
616000,1897
618000,1866
620000,1893
622000,1962
624000,1994
626000,1936
628000,1808
630000,1744
632000,1850
634000,2032
636000,2084
638000,2003
640000,1941
642000,1879
644000,1761
646000,1710
648000,1877
650000,2101
652000,2094
654000,1893
656000,1782
658000,1837
660000,1904
662000,1935
664000,1968
666000,2012
668000,1998
670000,1915
672000,1854
674000,1865
676000,1886
678000,1871
680000,1874
682000,1943
684000,1983
686000,1917
688000,1799
690000,1759
692000,1876
694000,2109
696000,2243
698000,2113
700000,1792
702000,1584
704000,1674
706000,1966
708000,2176
710000,2121
712000,1857
714000,1648
716000,1693
718000,1936
720000,2159
722000,2161
724000,1955
726000,1714
728000,1645
730000,1805
732000,2055
734000,2159
736000,2035
738000,1849
740000,1789
742000,1895
744000,2032
746000,2077
748000,1982
750000,1841
752000,1739
754000,1711
756000,1756
758000,1856
760000,1971
762000,2057
764000,2064
766000,1971
768000,1855
770000,1823
772000,1903
774000,2054
776000,2133
778000,2074
780000,1859
782000,1677
784000,1674
786000,1793
788000,1902
790000,1925
792000,1918
794000,1949
796000,2011
798000,2046
800000,2007
802000,1953
804000,1953
806000,1998
808000,1974
810000,1850
812000,1706
814000,1681
816000,1788
818000,1919
820000,1978
822000,1974
824000,1968
826000,1970
828000,1951
830000,1914
832000,1867
834000,1877
836000,1950
838000,2061
840000,2099
842000,2014
844000,1854
846000,1757
848000,1791
850000,1885
852000,1938
854000,1914
856000,1813
858000,1775
860000,1842
862000,1983
864000,2077
866000,2041
868000,1931
870000,1840
872000,1824
874000,1875
876000,1956
878000,1988
880000,1968
882000,1917
884000,1901
886000,1904
888000,1936
890000,1978
892000,1979
894000,1949
896000,1872
898000,1845
900000,1855
902000,1901
904000,1936
906000,1914
908000,1914
910000,1853
912000,1840
914000,1831
916000,1899
918000,1950
920000,2023
922000,2000
924000,1936
926000,1840
928000,1808
930000,1888
932000,1983
934000,2011
936000,1939
938000,1880
940000,1842
942000,1897
944000,1968
946000,1962
948000,1905
950000,1837
952000,1842
954000,1920
956000,2000
958000,1963
960000,1886
962000,1828
964000,1827
966000,1895
968000,1949
970000,1945
972000,1922
974000,1958
976000,2022
978000,1971
980000,1835
