# mrisr_capture pcg=39@500 uc=35@4 decim=125 fs=500 att=11db uc=mean_of_125_as_sum
# 20260910_053227 tag=demo profile=demo validated_protocol=False
t_us,adc
4000,1856
6000,1918
8000,2047
10000,2128
12000,1984
14000,1610
16000,1325
18001,1436
20000,1868
22000,2317
24001,2471
26001,2284
28000,1906
30000,1527
32001,1381
34001,1525
36001,1792
38001,1987
40001,2126
42001,2172
44000,2122
46000,2016
48000,1921
50000,1828
52000,1764
54001,1746
56001,1775
58000,1808
60000,1860
62000,1899
64000,1904
66000,1900
68000,1897
70000,1911
72000,1936
74001,1949
76001,1938
78001,1920
80001,1891
82001,1868
84000,1861
86001,1864
88001,1866
90001,1863
92001,1845
94001,1839
96001,1842
98000,1865
100000,1901
102000,1929
104001,1932
106000,1930
108000,1918
110000,1904
112001,1891
114000,1879
116001,1863
118000,1845
120000,1830
122001,1833
124000,1867
126001,1901
128000,1920
130001,1922
132000,1927
134001,1914
136001,1886
138001,1865
140000,1869
142000,1887
144000,1895
146000,1878
148001,1858
150000,1861
152001,1872
154000,1890
156000,1906
158001,1905
160001,1898
162000,1883
164000,1881
166000,1889
168000,1899
170000,1890
172000,1872
174001,1863
176001,1872
178000,1878
180000,1876
182001,1885
184001,1898
186000,1904
188001,1903
190001,1884
192001,1856
194000,1865
196000,1895
198001,1915
200001,1904
202000,1875
204001,1868
206001,1875
208001,1891
210000,1899
212000,1898
214001,1885
216000,1872
218000,1878
220000,1891
222000,1895
224000,1889
226000,1879
228001,1870
230001,1860
232000,1870
234000,1877
236000,1886
238000,1897
240000,1898
242001,1904
244001,1900
246001,1897
248000,1903
250001,1897
252000,1891
254000,1878
256000,1872
258000,1872
260001,1856
262000,1834
264000,1856
266000,1943
268000,2017
270000,1989
272001,1840
274000,1675
276000,1668
278000,1863
280001,2070
282000,2160
284001,2019
286001,1744
288000,1533
290000,1594
292000,1871
294001,2143
296000,2206
298000,2073
300001,1905
302000,1871
304000,1957
306000,1955
308000,1653
310001,1190
312001,1214
314001,1645
316001,2042
318000,2149
320000,2064
322000,1975
324001,2099
326000,2414
328000,2559
330000,2336
332001,1750
334000,1083
336000,1019
338001,1449
340000,1883
342001,2090
344001,2098
346000,2064
348000,2001
350000,2022
352001,2038
354000,2058
356000,2042
358000,1968
360001,1845
362000,1750
364000,1744
366000,1811
368001,1879
370000,1894
372000,1861
374001,1840
376000,1862
378000,1910
380000,1942
382001,1936
384001,1899
386000,1857
388001,1818
390001,1855
392000,1872
394001,1863
396000,1830
398000,1819
400000,1849
402001,1913
404000,1967
406001,1995
408000,1982
410000,1955
412000,1916
414000,1857
416000,1794
418001,1761
420000,1782
422000,1833
424000,1879
426001,1929
428000,1948
430001,1968
432001,1952
434000,1920
436001,1867
438000,1818
440000,1809
442000,1899
444001,2009
446000,2032
448000,1838
450001,1503
452000,1387
454000,1616
456000,2062
458000,2416
460000,2446
462000,2198
464000,1826
466000,1482
468000,1357
470000,1489
472001,1785
474000,2036
476000,2237
478000,2242
480000,2110
482000,1968
484001,1872
486000,1808
488001,1730
490001,1677
492000,1694
494001,1786
496000,1886
498000,1938
500000,1954
502000,1965
504000,1967
506000,1968
508000,1973
510000,1968
512000,1945
514000,1904
516000,1856
518000,1808
520000,1776
522000,1776
524000,1799
526000,1838
528000,1865
530000,1877
532001,1883
534001,1904
536000,1937
538000,1984
540000,2000
542000,1973
544001,1920
546001,1877
548000,1858
550000,1850
552000,1829
554000,1803
556000,1798
558001,1825
560001,1866
562000,1904
564000,1925
566000,1932
568001,1934
570001,1929
572000,1922
574000,1915
576000,1899
578000,1872
580000,1846
582001,1834
584000,1869
586000,1840
588000,1872
590000,1894
592000,1919
594000,1935
596000,1935
598000,1930
600000,1913
602000,1895
604001,1872
606000,1862
608000,1862
610000,1861
612000,1854
614000,1845
616001,1857
618001,1879
620000,1895
622000,1901
624001,1904
626000,1919
628001,1938
630000,1933
632000,1901
634000,1853
636000,1831
638001,1853
640000,1900
642000,1915
644001,1890
646000,1855
648001,1845
650000,1882
652000,1920
654001,1926
656000,1899
658000,1867
660001,1869
662000,1886
664001,1903
666000,1899
668000,1873
670000,1845
672001,1840
674000,1858
676000,1898
678000,1921
680000,1930
682000,1922
684000,1908
686000,1906
688000,1911
690000,1908
692000,1872
694000,1818
696001,1803
698000,1860
700000,1967
702000,1979
704000,1884
706000,1772
708000,1763
710000,1871
712001,1985
714001,2022
716001,1938
718000,1782
720000,1691
722000,1738
724000,1890
726000,2017
728001,2037
730000,1974
732000,1921
734000,1969
736000,2064
738000,2043
740000,1781
742000,1310
744000,1142
746000,1467
748000,1919
750001,2132
752000,2077
754000,2016
756001,2099
758000,2356
760000,2499
762000,2314
764000,1805
766000,1186
768000,1105
770000,1500
772000,1887
774000,2079
776000,2057
778000,1987
780000,1972
782001,1997
784000,2046
786001,2098
788000,2070
790001,1957
792000,1822
794000,1731
796001,1712
798000,1781
800001,1859
802001,1882
804000,1872
806000,1879
808001,1920
810000,1941
812001,1946
814000,1936
816001,1890
818000,1862
820000,1831
822001,1823
824000,1840
826000,1853
828000,1851
830000,1842
832000,1865
834000,1911
836000,1950
838000,2000
840001,1989
842000,1952
844000,1908
846000,1875
848001,1853
