# mrisr_capture pcg=39@500 uc=35@4 decim=125 fs=500 att=11db uc=mean_of_125_as_sum
# 20260908_161028 tag=demo profile=demo validated_protocol=False
t_us,adc
4000,272
6000,271
8000,272
10000,272
12000,271
14000,272
16000,270
18000,272
20000,273
22000,272
24000,272
26000,272
28000,272
30000,270
32000,272
34000,272
36000,271
38000,269
40000,272
42000,276
44000,271
46000,272
48000,271
50000,270
52000,266
54000,272
56000,270
58000,272
60000,272
62000,272
64000,249
66000,272
68000,272
70000,267
72000,268
74000,271
76000,272
78000,271
80000,266
82000,272
84000,271
86000,271
88000,273
90000,271
92000,266
94000,272
96000,272
98000,272
100000,272
102000,272
104000,278
106000,271
108000,272
110000,273
112000,272
114000,254
116000,266
118000,272
120000,272
122000,272
124000,272
126000,272
128000,241
130000,272
132000,277
134000,269
136000,272
138000,240
140000,271
142000,270
144000,272
146000,273
148000,272
150000,268
152000,268
154000,273
156000,271
158000,271
160000,270
162000,270
164000,272
166000,242
168000,270
170000,272
172000,269
174000,272
176000,272
178000,271
180000,268
182000,269
184000,271
186000,272
188000,271
190000,287
192000,272
194000,295
196000,259
198000,269
200000,262
202000,272
204000,272
206000,270
208000,272
210000,271
212000,270
214000,272
216000,271
218000,270
220000,270
222000,270
224000,272
226000,271
228000,271
230000,273
232000,269
234000,269
236000,272
238000,272
240000,272
242000,266
244000,271
246000,272
248000,272
250000,271
252000,272
254000,270
256000,272
258000,270
260000,265
262000,270
264000,272
266000,272
268000,270
270000,270
272000,269
274000,273
276000,271
278000,272
280000,272
282000,270
284000,273
286000,272
288000,269
290000,272
292000,269
294000,270
296000,272
298000,269
300000,272
302000,270
304000,272
306000,272
308000,272
310000,272
312000,271
314000,272
316000,272
318000,271
320000,259
322000,270
324000,272
326000,269
328000,272
330000,272
332000,271
334000,271
336000,272
338000,279
340000,270
342000,270
344000,272
346000,272
348000,271
350000,272
352000,271
354000,271
356000,262
358000,272
360000,271
362000,271
364000,272
366000,272
368000,270
370000,271
372000,267
374000,269
376000,272
378000,272
380000,272
382000,270
384000,272
386000,270
388000,270
390000,272
392000,272
394000,272
396000,272
398000,273
400000,272
402000,272
404000,275
406000,272
408000,272
410000,272
412000,270
414000,270
416000,269
418000,272
420000,272
422000,271
424000,272
426000,272
428000,271
430000,271
432000,272
434000,269
436000,271
438000,272
440000,270
442000,272
444000,267
446000,270
448000,269
450000,272
452000,270
454000,271
456000,272
458000,272
460000,271
462000,272
464000,271
466000,272
468000,272
470000,272
472000,271
474000,271
476000,272
478000,272
480000,272
482000,271
484000,273
486000,272
488000,271
490000,272
492000,270
494000,270
496000,272
498000,270
500000,269
502000,272
504000,271
506000,272
508000,272
510000,268
512000,272
514000,270
516000,271
518000,272
520000,270
522000,272
524000,272
526000,272
528000,270
530000,271
532000,272
534000,269
536000,267
538000,272
540000,269
542000,270
544000,268
546000,272
548000,269
550000,270
552000,272
554000,272
556000,272
558000,271
560000,272
562000,272
564000,272
566000,272
568000,272
570000,272
572000,271
574000,270
576000,270
578000,272
580000,272
582000,273
584000,271
586000,272
588000,268
590000,271
592000,272
594000,272
596000,271
598000,268
600000,272
602000,270
604000,274
606000,272
608000,269
610000,271
612000,270
614000,272
616000,271
618000,272
620000,272
622000,272
624000,273
626000,271
628000,267
630000,268
632000,271
634000,272
636000,272
638000,272
640000,272
642000,272
644000,272
646000,272
648000,271
650000,272
652000,270
654000,272
656000,271
658000,272
660000,271
662000,272
664000,272
666000,272
668000,272
670000,271
672000,271
674000,270
676000,272
678000,272
