# mrisr_capture pcg=39@500 uc=35@4 decim=125 fs=500 att=11db uc=mean_of_125_as_sum
# 20260911_152407 tag=demo profile=demo validated_protocol=False
t_us,adc
1,1914
4001,1926
6000,1899
8001,1854
10001,1817
12001,1793
14000,1825
16000,1925
18001,2070
20001,2135
22001,2082
24001,1936
26001,1799
28000,1762
30001,1814
32001,1863
34001,1865
36001,1859
38000,1893
40001,1955
42000,2001
44000,1989
46001,1936
48000,1899
50001,1872
52000,1858
54001,1845
56000,1809
58001,1792
60001,1866
62000,2028
64000,2165
66001,2182
68000,2099
70000,1962
72001,1813
74000,1728
76001,1734
78000,1776
80001,1798
82001,1821
84000,1862
86000,1909
88000,1972
90001,2028
92000,2067
94001,2075
96000,2000
98001,1899
100001,1824
102001,1821
104001,1856
106001,1910
108001,1961
110001,1979
112001,1954
114001,1903
116001,1867
118001,1830
120001,1776
122001,1776
124001,1982
126001,2305
128001,2374
130001,1872
132001,997
134001,727
136000,1154
138001,1900
140001,3375
142000,3927
144000,2759
146001,1149
148001,46
150000,736
152000,1936
154001,2489
156001,2874
158001,2791
160001,2410
162001,2094
164000,1901
166000,1739
168001,1456
170001,702
172000,576
174001,1315
176001,2147
178001,2032
180001,2021
182001,1392
184001,1318
186001,4095
188001,4095
190001,3447
192001,2346
194001,1162
196001,0
198001,0
200001,1648
202001,2864
204001,2847
206001,2547
208001,2239
210001,2014
212001,2091
214001,2123
216001,2090
218001,1904
220001,1712
222001,1750
224001,1814
226001,1895
228001,1946
230001,1909
232001,1751
234001,1650
236001,1712
238001,1829
240000,1878
242001,1950
244001,1980
246001,1968
248000,1895
250000,1846
252000,1856
254000,1920
256000,1981
258001,1983
260001,1925
262001,1871
264001,1837
266001,1863
268001,1951
270001,2046
272001,2090
274001,2046
276001,1931
278001,1789
280000,1723
282000,1755
284000,1809
286000,1863
288000,1904
290000,1917
292001,1895
294001,1888
296001,1939
298001,2006
300001,1995
302001,1951
304001,1902
306001,1886
308001,1890
310001,1894
312001,1890
314001,1936
316001,2125
318001,2329
320001,2151
322001,1134
324001,12
326000,607
328001,1601
330001,3097
332001,4095
334000,3386
336000,939
338001,0
340001,0
342001,1072
344001,4049
346001,4095
348001,3376
350001,2347
352001,1574
354001,1392
356001,1754
358001,2059
360000,2001
362000,1680
364000,1392
366000,1386
368000,1683
370000,1955
372000,2061
374001,2032
376001,1938
378001,1878
380001,1929
382001,2060
384001,2156
386001,2112
388001,1953
390001,1804
392001,1744
394001,1763
396001,1770
398001,1754
400001,1783
402000,1885
404000,1999
406000,2059
408001,2010
410001,1923
412001,1896
414001,1939
416001,1943
418001,1886
420001,1830
422001,1844
424001,1887
426001,1921
428001,1924
430001,1915
432001,1914
434001,1932
436001,1937
438001,1933
440001,1914
442001,1872
444001,1838
446001,1833
448001,1850
450001,1857
452001,1867
454001,1895
456001,1955
458001,2023
460001,2061
462001,2031
464001,1963
466001,1843
468001,1731
470001,1721
472001,1813
474001,1935
476001,2000
478001,2000
480001,1968
482001,1936
484001,1917
486001,1925
488000,1923
490001,1891
492001,1867
494001,1866
496001,1856
498001,1823
500001,1813
502000,1873
504000,1959
506001,2025
508001,2055
510001,2013
512001,1917
514001,1843
516001,1847
518001,1892
520001,1906
522000,1888
524001,1888
526001,1904
528001,1905
530001,1918
532001,1954
534001,1966
536001,1919
538001,1856
540001,1827
542001,1813
544001,1817
546001,1887
548001,1983
550001,2011
552001,1981
554001,1959
556001,1966
558001,1974
560001,1963
562001,1905
564001,1815
