scheduled_s,host_s,device_us,device_s,phase,cycle
0.000,0.000,0,0.000,BASELINE,0
20.000,20.002,20012000,20.012,RAMP,1
40.000,40.002,40012000,40.012,HOLD,1
65.000,65.001,65012001,65.012,FALL,1
85.000,85.001,85012000,85.012,REST,1
