t_s,uc
0.126000,1863.8960
0.376000,1862.9520
0.626000,1864.0560
0.876000,1864.0880
1.126000,1863.1840
1.376000,1863.5760
1.626000,1863.6080
1.876000,1862.9920
2.126000,1863.4480
2.376000,1863.1440
2.626000,1863.4000
2.876000,1863.5120
3.126000,1862.8880
3.376000,1864.1760
3.626000,1862.6720
3.876000,1862.8720
4.126000,1862.5760
4.376000,1864.0240
4.626000,1863.8880
4.876000,1863.2880
5.126000,1863.6560
5.376000,1862.8160
5.626000,1863.3760
5.876000,1862.9760
6.126000,1862.0720
6.376000,1863.2800
6.626000,1863.6560
6.876000,1861.3120
7.126000,1862.1840
7.376000,1862.3680
7.626000,1862.8000
7.876000,1863.4000
8.126000,1862.7760
8.376000,1862.6480
8.626000,1863.4320
8.876000,1863.2400
9.126000,1864.1200
9.376000,1863.6880
9.626000,1863.2160
9.876000,1864.1200
10.126001,1863.3280
10.376000,1863.9600
10.626000,1862.8880
10.876000,1862.5920
11.126000,1863.0080
11.376001,1863.1440
11.626001,1862.0160
11.876000,1863.4080
12.126000,1856.8960
12.376000,1831.3520
12.626000,1701.3760
12.876000,1728.7920
13.126000,1786.9280
13.376000,2073.5120
13.626000,2162.7680
13.876000,2131.2080
14.126000,2143.4320
14.376000,2206.2800
14.626000,2241.4320
14.876000,2260.8480
15.126000,2247.0320
15.376000,2251.6000
15.626000,2265.5600
15.876000,2257.3360
16.126000,2259.0720
16.376000,2264.5760
16.626000,2269.4720
16.876000,2263.2800
17.126000,2259.0240
17.376000,2261.7200
17.626000,2256.8800
17.876000,2260.6080
18.126000,2265.6560
18.376001,2273.9120
18.626000,2272.5440
18.876000,2271.7040
19.126000,2274.3200
19.376000,2277.9040
19.626001,2280.8800
19.876000,2285.9360
20.126000,2287.8800
20.376001,2288.9280
20.626000,2293.3920
20.876000,2297.2480
21.126000,2307.9760
21.376001,2315.8720
21.626000,2313.5040
21.876000,2311.2400
22.126000,2316.6000
22.376000,2318.1520
22.626000,2318.1280
22.876000,2318.6960
23.126000,2335.2480
23.376000,2347.0960
23.626001,2364.1600
23.876000,2357.8480
24.126000,2377.6560
24.376000,2342.6000
24.626000,2373.3440
24.876000,2355.9680
25.126000,2347.5680
25.376000,2354.0720
25.626000,2350.7280
25.876000,2366.4960
26.126000,2371.9120
26.376000,2377.0880
26.626000,2382.5760
26.876000,2382.2720
27.126000,2378.9440
27.376000,2377.2160
27.626001,2366.4880
27.876000,2350.3680
28.126000,2355.4960
28.376000,2353.6800
28.626000,2353.6640
28.876000,2360.1120
29.126001,2345.6080
29.376000,2348.3840
29.626000,2346.1440
29.876000,2346.7440
30.126000,2342.8480
30.376000,2331.3120
30.626000,2322.8000
30.876000,2322.6960
31.126000,2319.6080
31.376000,2325.9680
31.626000,2329.2880
31.876000,2334.7680
32.126000,2327.7920
32.376000,2326.2880
32.626001,2330.6800
32.876000,2322.6480
33.126000,2319.5760
33.376000,2334.1440
33.626000,2245.4000
33.876001,2214.7760
34.126000,2309.3520
34.376000,2337.3440
34.626001,2333.8480
34.876000,2333.2400
35.126001,2296.0640
35.376000,2259.3120
35.626000,2228.1760
35.876001,2227.1440
36.126000,2250.8080
36.376000,2217.3200
36.626000,2222.6000
36.876000,2228.4320
37.126000,2295.2160
37.376000,2329.2880
37.626000,2346.4400
37.876000,2335.2800
38.126000,2297.3680
38.376001,2256.2800
38.626000,2249.7280
38.876000,2238.1040
39.126001,2259.3040
39.376000,2252.9040
39.626001,2243.6800
39.876000,2285.0960
40.126000,2278.7120
40.376001,2287.2320
40.626000,2296.0880
40.876001,2241.8800
41.126000,2211.9440
41.376000,2143.6800
41.626000,2177.1280
41.876001,2185.9200
42.126000,2098.4240
42.376001,2125.4560
42.626000,2163.6640
42.876000,2186.7920
43.126001,2233.3040
43.376000,2288.1040
43.626000,2272.0400
43.876000,2243.4080
44.126000,2221.1760
44.376000,2201.9360
44.626000,2207.0640
44.876000,2217.7120
45.126000,2204.5360
45.376001,2181.6240
45.626000,2176.1200
45.876000,2102.2720
46.126000,2022.5600
46.376000,2004.7680
46.626000,1976.5520
46.876000,1940.3040
47.126000,1893.9520
47.376000,1841.0320
47.626000,1828.3840
47.876000,1751.5200
48.126000,1776.9360
48.376000,1778.1280
48.626000,1779.0880
48.876000,1758.6800
49.126000,1713.3680
49.376000,1723.4240
49.626000,1737.5280
49.876000,1751.2720
50.126001,1754.6560
50.376000,1751.3920
50.626000,1761.8800
50.876000,1770.1200
51.126001,1752.3040
51.376000,1752.9360
51.626000,1758.8480
51.876001,1766.8560
52.126000,1766.5520
52.376000,1772.2640
52.626000,1763.4720
52.876000,1747.4320
53.126000,1750.5440
53.376000,1734.5760
53.626001,1714.6080
53.876000,1730.2320
54.126000,1711.9840
54.376000,1708.4960
54.626000,1710.5040
54.876000,1707.8560
55.126000,1702.6160
55.376000,1701.7920
55.626001,1704.8400
55.876000,1695.4480
56.126000,1677.5120
56.376000,1662.5920
56.626000,1663.0240
56.876000,1670.0240
57.126000,1664.9920
57.376000,1666.4080
57.626000,1659.1040
57.876000,1655.4400
58.126001,1658.0560
58.376000,1659.2320
58.626000,1671.3600
58.876000,1696.9440
59.126000,1681.9600
59.376000,1663.1200
59.626000,1682.1600
59.876000,1681.4640
60.126000,1690.0400
60.376000,1690.6960
60.626000,1699.1200
60.876000,1704.2080
61.126001,1706.4080
61.376000,1709.6080
61.626000,1707.4240
61.876000,1719.1440
62.126000,1709.5680
62.376000,1711.6320
62.626000,1716.8640
62.876001,1719.1920
63.126000,1712.3840
63.376000,1723.8080
63.626000,1725.2720
63.876000,1726.2560
64.126000,1725.3760
64.376000,1726.1760
64.626000,1725.0960
64.876000,1723.5920
65.126000,1723.3040
65.376000,1725.5360
65.626000,1728.6720
65.876000,1730.5920
66.126000,1731.1200
66.376000,1732.3680
66.626000,1733.4160
66.876000,1733.5920
67.126000,1732.8000
67.376000,1730.2240
67.626000,1728.1520
67.876000,1727.7680
68.126000,1728.3920
68.376000,1728.6320
68.626000,1728.2560
68.876000,1729.0960
69.126000,1729.5360
69.376000,1729.0720
69.626000,1728.7520
69.876000,1729.1840
70.126000,1728.5760
70.376000,1727.4320
70.626000,1729.9840
70.876000,1729.1200
71.126000,1729.3280
71.376000,1728.5440
71.626000,1728.6720
71.876000,1728.3360
72.126000,1728.7920
72.376000,1728.3520
72.626000,1728.4320
72.876001,1727.7760
73.126000,1729.3680
73.376000,1728.7440
73.626000,1729.3280
73.876000,1728.6960
74.126000,1728.8880
74.376000,1729.2560
74.626000,1728.9280
74.876000,1728.6000
75.126000,1728.7680
75.376000,1730.3360
75.626000,1729.0560
75.876000,1729.6320
76.126000,1728.9040
76.376000,1729.3520
76.626000,1728.5760
76.876001,1728.3200
77.126000,1728.4400
77.376001,1728.2080
77.626000,1729.4880
77.876001,1728.6720
78.126001,1728.2560
78.376000,1729.0160
