t_s,uc
0.126000,1340.4000
0.376000,1343.7920
0.626000,1343.6480
0.876000,1349.3120
1.126001,1351.9840
1.376000,1340.0000
1.626000,1339.3680
1.876000,1336.8880
2.126000,1344.5840
2.376000,1352.3520
2.626000,1351.9360
2.876000,1340.8640
3.126001,1338.4080
3.376001,1340.0240
3.626001,1338.8880
3.876001,1349.8240
4.126001,1344.6480
4.376000,1344.6320
4.626000,1346.2160
4.876000,1348.3120
5.126001,1351.2800
5.376000,1346.6080
5.626001,1350.0720
5.876001,1345.5520
6.126000,1353.8720
6.376000,1357.4880
6.626000,1350.2720
6.876000,1356.4560
7.126000,1349.9840
7.376000,1357.2560
7.626000,1351.8320
7.876001,1351.9440
8.126000,1350.6160
8.376000,1350.5440
8.626000,1350.7200
8.876001,1348.4720
9.126000,1355.6080
9.376000,1348.4880
9.626000,1350.9440
9.876001,1349.8880
10.126000,1352.0000
10.376001,1351.3280
10.626001,1345.9440
10.876000,1346.9520
11.126000,1347.5680
11.376000,1346.9840
11.626000,1348.1360
11.876001,1367.8400
12.126000,1262.3520
12.376000,1216.0560
12.626000,1242.6640
12.876000,1308.2800
13.126000,1567.5520
13.376000,1754.1680
13.626000,1837.7760
13.876000,1909.4560
14.126000,1821.2880
14.376000,1707.8560
14.626000,1861.6800
14.876000,1992.9520
15.126000,2007.4480
15.376001,2013.3200
15.626000,1976.1200
15.876000,1991.6800
16.126000,1987.6000
16.376000,1977.9040
16.626000,1995.5520
16.876000,2030.0480
17.126000,2062.0800
17.376001,2081.4720
17.626000,2093.6720
17.876000,2103.7040
18.126001,2107.6320
18.376001,2098.3760
18.626000,2088.3600
18.876000,2080.1280
19.126001,2105.1760
19.376000,2094.6320
19.626001,2041.6720
19.876001,2045.2320
20.126000,2041.1680
20.376000,2083.5360
20.626000,2013.1600
20.876000,2020.5840
21.126000,2038.3440
21.376000,2012.2000
21.626000,2017.2320
21.876001,2009.0960
22.126001,2024.6400
22.376001,2011.2720
22.626000,2000.9040
22.876000,1979.0720
23.126000,1982.3760
23.376000,1975.5840
23.626000,1985.5920
23.876000,1972.9680
24.126001,1976.1200
24.376000,1987.1920
24.626000,1980.4480
24.876001,1970.3120
25.126001,1953.9520
25.376000,1960.2560
25.626001,1980.6560
25.876000,1979.3040
26.126001,1976.0000
26.376001,2057.5040
26.626000,2191.7200
26.876000,2212.8880
27.126000,2058.2880
27.376001,1986.2320
27.626000,1948.1920
27.876001,1968.7120
28.126001,1960.3760
28.376000,1968.6080
28.626000,1981.3120
28.876001,1980.4560
29.126000,1964.9200
29.376001,1972.8640
29.626000,1919.8560
29.876000,1895.9920
30.126001,1881.6560
30.376000,1916.5200
30.626000,1905.4320
30.876000,1904.7680
31.126000,1944.0960
31.376000,1957.0720
31.626001,1991.0720
31.876000,2008.8080
32.126000,2009.5360
32.376000,2020.4800
32.626001,2005.0640
32.876000,2021.3760
33.126001,1991.1440
33.376001,2020.9840
33.626000,2019.8480
33.876001,2022.9040
34.126000,2026.5600
34.376000,2005.0160
34.626001,2015.7600
34.876001,2034.2640
35.126001,2040.9040
35.376000,2048.7520
35.626001,2051.2560
35.876001,2044.7120
36.126001,2064.7120
36.376001,2003.2320
36.626000,1982.8560
36.876000,2005.1680
37.126000,1950.6880
37.376000,1953.2640
37.626000,1927.3600
37.876000,1926.6400
38.126000,1908.0080
38.376000,1955.2000
38.626001,1955.0320
38.876000,1956.6560
39.126000,1950.4640
39.376000,1959.3280
39.626001,1958.5600
39.876001,1925.0320
40.126001,1906.1200
40.376000,1905.3360
40.626001,1909.4080
40.876001,1903.5040
41.126000,1916.6400
41.376000,1908.7360
41.626000,1914.8480
41.876001,1938.1120
42.126001,1935.3360
42.376001,1923.7760
42.626000,1909.2240
42.876001,1902.2800
43.126001,1905.3040
43.376000,1908.7360
43.626001,1905.6240
43.876001,1905.4720
44.126001,1904.1920
44.376001,1905.6480
44.626000,1904.1920
44.876000,1906.4640
45.126000,1904.3600
45.376001,1910.7680
45.626001,1907.6720
45.876001,1927.9120
46.126001,1908.1600
46.376000,1903.4000
46.626000,1913.5360
46.876000,1914.2880
47.126000,1905.5280
47.376001,1903.0480
47.626000,1960.7520
47.876001,1876.9120
48.126000,1845.8560
48.376001,1809.7440
48.626000,1826.0160
48.876001,1831.7840
49.126001,1789.8160
49.376001,1632.0080
49.626001,1535.4880
49.876000,1493.0000
50.126001,1440.1360
50.376000,1397.2320
50.626001,1408.1120
50.876000,1392.7120
51.126001,1409.6880
51.376001,1403.3840
51.626000,1391.7680
51.876000,1386.4400
52.126000,1349.9840
52.376001,1333.3440
52.626001,1343.2400
52.876001,1355.0240
53.126001,1377.8480
53.376001,1390.2960
53.626001,1393.7200
53.876000,1367.4720
54.126000,1328.4240
54.376000,1336.3840
54.626000,1333.2560
54.876001,1298.8080
55.126001,1318.7920
55.376001,1373.8720
55.626001,1361.6640
55.876000,1328.4160
56.126000,1336.5600
56.376001,1329.2240
56.626001,1358.7920
56.876000,1364.7760
57.126001,1352.5840
57.376001,1346.7760
57.626000,1346.7680
57.876000,1337.9040
58.126000,1355.3680
58.376000,1362.8320
58.626000,1358.3920
58.876001,1372.6800
59.126001,1356.2320
59.376000,1388.7440
59.626000,1338.0960
59.876000,1350.6720
60.126000,1357.1440
60.376000,1356.3680
60.626001,1337.0080
60.876000,1330.8720
61.126001,1347.2400
61.376000,1334.8560
61.626000,1354.1760
61.876000,1336.2320
62.126001,1330.3840
62.376000,1315.3520
62.626000,1319.8960
62.876000,1338.8320
63.126001,1359.4160
63.376000,1370.6640
63.626000,1358.5680
63.876000,1350.5440
64.126000,1345.1520
64.376000,1346.3120
64.626001,1342.5200
64.876000,1338.6960
65.126001,1340.7680
65.376001,1340.8400
65.626001,1341.1760
65.876001,1341.1760
66.126000,1341.5840
66.376000,1341.5520
66.626001,1341.6800
66.876001,1340.9600
67.126000,1344.4640
67.376000,1343.9280
67.626000,1341.1920
67.876000,1343.9520
68.126001,1345.4800
68.376000,1347.7760
68.626001,1349.8240
68.876000,1353.1920
69.126001,1358.0160
69.376000,1343.4240
69.626001,1343.3280
69.876000,1339.1520
70.126000,1339.3200
70.376001,1340.8560
70.626001,1350.2080
70.876000,1359.1680
71.126001,1343.5040
71.376001,1340.5040
71.626000,1336.4640
71.876000,1327.4320
72.126001,1319.1440
72.376001,1321.3520
72.626000,1314.0720
72.876001,1315.1040
73.126001,1312.0640
73.376000,1306.8000
73.626001,1303.4320
73.876001,1303.2960
74.126001,1304.3040
74.376001,1304.7120
74.626000,1303.4320
74.876000,1312.0080
75.126000,1315.0720
