scheduled_s,host_s,device_us,device_s,phase,cycle
0.000,0.000,0,0.000,BASELINE,0
60.000,60.002,60012000,60.012,RAMP,1
80.000,80.002,80012000,80.012,HOLD,1
105.000,105.002,105012000,105.012,FALL,1
125.000,125.002,125012000,125.012,REST,1
225.000,225.001,225012000,225.012,RAMP,2
245.000,245.001,245012000,245.012,HOLD,2
270.000,270.000,270012000,270.012,FALL,2
290.000,290.000,290012001,290.012,REST,2
390.000,390.001,390014000,390.014,RAMP,3
410.000,410.001,410014000,410.014,HOLD,3
435.000,435.001,435014000,435.014,FALL,3
455.000,455.001,455014000,455.014,REST,3
555.000,555.002,555016000,555.016,RAMP,4
575.000,575.002,575016000,575.016,HOLD,4
600.000,600.001,600016000,600.016,FALL,4
620.000,620.001,620016000,620.016,REST,4
720.000,720.000,720016000,720.016,RAMP,5
740.000,740.002,740018000,740.018,HOLD,5
765.000,765.002,765018000,765.018,FALL,5
785.000,785.001,785018000,785.018,REST,5
885.000,885.001,885018000,885.018,RAMP,6
905.000,905.001,905018000,905.018,HOLD,6
930.000,930.000,930018000,930.018,FALL,6
950.000,950.002,950020000,950.020,REST,6
1050.000,1050.001,1050020000,1050.020,RAMP,7
1070.000,1070.001,1070020000,1070.020,HOLD,7
1095.000,1095.001,1095020000,1095.020,FALL,7
1115.000,1115.001,1115020000,1115.020,REST,7
