cycle,ref_start_s,ref_end_s,det_start_s,det_end_s,cover,iou,matched
1,116.59,166.59,120.84,156.84,0.7200,0.7200,1
2,206.59,256.59,209.09,250.09,0.8200,0.8200,1
3,296.59,346.59,295.34,351.34,1.0000,0.8929,1
