t_s,uc
0.1250,1082.5440
0.3750,1082.6480
0.6250,1083.8400
0.8750,1083.3760
1.1250,1082.8960
1.3750,1082.8000
1.6250,1082.8960
1.8750,1082.4480
2.1250,1083.0960
2.3750,1082.9120
2.6250,1082.7760
2.8750,1083.8560
3.1250,1082.7040
3.3750,1083.0640
3.6250,1083.0640
3.8750,1083.3200
4.1250,1083.0880
4.3750,1083.2240
4.6250,1083.4080
4.8750,1083.8560
5.1250,1083.5120
5.3750,1083.5600
5.6250,1082.8320
5.8750,1083.7760
6.1250,1083.7920
6.3750,1083.3440
6.6250,1083.1440
6.8750,1083.2960
7.1250,1083.4960
7.3750,1083.4720
7.6250,1083.5120
7.8750,1083.7840
8.1250,1083.3680
8.3750,1082.8880
8.6250,1083.6720
8.8750,1083.4000
9.1250,1083.5360
9.3750,1083.4640
9.6250,1083.4560
9.8750,1083.4800
10.1250,1081.7680
10.3750,1083.1280
10.6250,1083.5280
10.8750,1083.6000
11.1250,1083.5360
11.3750,1083.6480
11.6250,1083.6240
11.8750,1083.4640
12.1250,1083.4640
12.3750,1083.1200
12.6250,1080.5120
12.8750,1084.1440
13.1250,1083.6400
13.3750,1083.7120
13.6250,1083.5200
13.8750,1083.4320
14.1250,1083.1840
14.3750,1083.6720
14.6250,1083.4480
14.8750,1083.9360
15.1250,1084.3040
15.3750,1083.8960
15.6250,1083.6080
15.8750,1083.8320
16.1250,1083.7200
16.3750,1083.4080
16.6250,1083.4000
16.8750,1083.1920
17.1250,1083.0400
17.3750,1083.1440
17.6250,1083.5360
17.8750,1083.9040
18.1250,1083.4720
18.3750,1083.5360
18.6250,1083.7760
18.8750,1083.7520
19.1250,1083.6960
19.3750,1083.8800
19.6250,1082.4560
19.8750,1083.1680
20.1250,1083.6080
20.3750,1084.0080
20.6250,1083.7520
20.8750,1083.7120
21.1250,1084.2720
21.3750,1083.6560
21.6250,1083.9760
21.8750,1083.8960
22.1250,1085.1680
22.3750,1083.7360
22.6250,1083.6640
22.8750,1083.8160
23.1250,1083.2800
23.3750,1083.4640
23.6250,1083.3200
23.8750,1083.5280
24.1250,1083.5280
24.3750,1083.0240
24.6250,1083.2800
24.8750,1083.4080
25.1250,1083.3120
25.3750,1083.2000
25.6250,1083.1120
25.8750,1082.9040
26.1250,1083.0720
26.3750,1082.9440
26.6250,1083.4160
26.8750,1083.0240
27.1250,1083.3520
27.3750,1082.3600
27.6250,1082.1040
27.8750,1081.9600
28.1250,1082.3680
28.3750,1082.3280
28.6250,1082.0080
28.8750,1081.8560
29.1250,1082.3120
29.3750,1082.3840
29.6250,1082.2560
29.8750,1082.0000
30.1250,1081.9040
30.3750,1082.1840
30.6250,1081.7760
30.8750,1082.8720
86.5930,1084.7680
86.8430,1085.3280
87.0930,1084.1760
87.3430,1085.2480
87.5930,1085.0880
87.8430,1084.9680
88.0930,1085.0400
88.3430,1085.2320
88.5930,1085.2800
88.8430,1085.7360
89.0930,1086.0720
89.3430,1085.6880
89.5930,1084.3280
89.8430,1085.2400
90.0930,1085.5520
90.3430,1085.9440
90.5930,1086.0560
90.8430,1085.8960
91.0930,1085.8720
91.3430,1085.5280
91.5930,1085.8160
91.8430,1086.5040
92.0930,1085.8880
92.3430,1085.3440
92.5930,1085.8800
92.8430,1086.0960
93.0930,1086.2560
93.3430,1086.4080
93.5930,1086.2960
93.8430,1086.3520
94.0930,1086.3680
94.3430,1085.9760
94.5930,1086.3360
94.8430,1087.2080
95.0930,1086.3360
95.3430,1086.8160
95.5930,1086.9360
95.8430,1086.8240
96.0930,1086.8400
96.3430,1086.8000
96.5930,1086.6160
96.8430,1087.1520
97.0930,1086.3440
97.3430,1086.7920
97.5930,1087.0960
97.8430,1086.4560
98.0930,1086.5680
98.3430,1086.2080
98.5930,1087.0560
98.8430,1087.2960
99.0930,1087.6080
99.3430,1087.4640
99.5930,1086.7280
99.8430,1087.1360
100.0930,1087.0320
100.3430,1086.9840
100.5930,1087.6240
100.8430,1087.2400
101.0930,1086.7040
101.3430,1087.5120
101.5930,1087.3920
101.8430,1087.0400
102.0930,1087.2320
102.3430,1087.5600
102.5930,1087.2560
102.8430,1087.2080
103.0930,1087.3600
103.3430,1086.8720
103.5930,1087.2720
103.8430,1086.8000
104.0930,1087.4080
104.3430,1087.0240
104.5930,1086.9040
104.8430,1086.7600
105.0930,1087.7200
105.3430,1086.9600
105.5930,1087.1920
105.8430,1088.0240
106.0930,1087.3120
106.3430,1087.2640
106.5930,1086.6960
106.8430,1087.1920
107.0930,1086.9840
107.3430,1086.5760
107.5930,1087.0640
107.8430,1087.2560
108.0930,1087.2640
108.3430,1087.9040
108.5930,1087.4480
108.8430,1086.9600
109.0930,1087.6640
109.3430,1087.7600
109.5930,1088.1040
109.8430,1087.0880
110.0930,1087.3040
110.3430,1087.7440
110.5930,1087.5760
110.8430,1087.8320
111.0930,1087.6720
111.3430,1087.7520
111.5930,1088.2160
111.8430,1087.7360
112.0930,1085.4880
112.3430,1087.1040
112.5930,1087.6560
112.8430,1087.5120
113.0930,1087.6800
113.3430,1087.4560
113.5930,1087.6400
113.8430,1087.7040
114.0930,1087.8960
114.3430,1087.8320
114.5930,1087.1040
114.8430,1088.0000
115.0930,1087.5680
115.3430,1086.9920
115.5930,1087.6400
115.8430,1087.6480
116.0930,1087.6800
116.3430,1087.5040
116.5930,1087.4080
116.8430,1086.3600
117.0930,1087.4080
117.3430,1092.2480
117.5930,1104.6640
117.8430,1177.8400
118.0930,1199.1040
118.3430,1332.2000
118.5930,1347.4080
118.8430,1378.5600
119.0930,1368.9360
119.3430,1421.7600
119.5930,1425.7120
119.8430,1427.6320
120.0930,1390.1840
120.3430,1410.5600
120.5930,1495.7920
120.8430,1640.1120
121.0930,1680.1920
121.3430,1703.2400
121.5930,1714.5600
121.8430,1710.5600
122.0930,1729.9360
122.3430,1728.7200
122.5930,1767.7120
122.8430,1809.2640
123.0930,1836.8640
123.3430,1848.6800
123.5930,1854.0160
123.8430,1879.9360
124.0930,1966.1280
124.3430,1988.5520
124.5930,2002.4080
124.8430,2047.9040
125.0930,2092.5920
125.3430,2110.3200
125.5930,2117.3200
125.8430,2115.7040
126.0930,2097.3840
126.3430,2072.7440
126.5930,2095.2880
126.8430,2122.3920
127.0930,2163.8320
127.3430,2160.6800
127.5930,2140.6800
127.8430,2170.4160
128.0930,2183.4560
128.3430,2182.9920
128.5930,2191.9120
128.8430,2189.9200
129.0930,2195.8400
129.3430,2193.2960
129.5930,2195.4960
129.8430,2194.9440
130.0930,2203.3200
130.3430,2208.8880
130.5930,2183.8960
130.8430,2169.8480
131.0930,2190.5920
131.3430,2201.7280
131.5930,2194.1440
131.8430,2200.9760
132.0930,2213.5120
132.3430,2225.3760
132.5930,2226.5120
132.8430,2214.2160
133.0930,2210.7680
133.3430,2230.1440
133.5930,2243.2720
133.8430,2229.7360
134.0930,2195.6560
134.3430,2190.7280
134.5930,2208.4080
134.8430,2217.5600
135.0930,2219.3440
135.3430,2223.4640
135.5930,2215.5680
135.8430,2209.4800
136.0930,2193.4640
136.3430,2185.2960
136.5930,2178.3680
136.8430,2186.6240
137.0930,2190.3360
137.3430,2188.2320
137.5930,2195.7520
137.8430,2193.9840
138.0930,2193.9040
138.3430,2193.7600
138.5930,2196.3120
138.8430,2196.9600
139.0930,2189.7440
139.3430,2156.4640
139.5930,2153.6400
139.8430,2197.2800
140.0930,2195.0880
140.3430,2191.4400
140.5930,2201.3280
140.8430,2202.2960
141.0930,2197.2960
141.3430,2183.7520
141.5930,2181.3440
141.8430,2153.5280
142.0930,2141.2560
142.3430,2143.7600
142.5930,2175.2800
142.8430,2174.7120
143.0930,2151.5360
143.3430,2151.6080
143.5930,2174.1120
143.8430,2202.2480
144.0930,2207.3680
144.3430,2190.4480
144.5930,2194.0880
144.8430,2225.4000
145.0930,2234.4480
145.3430,2229.2320
145.5930,2216.3760
145.8430,2211.2400
146.0930,2206.6080
146.3430,2207.5520
146.5930,2206.5280
146.8430,2210.9120
147.0930,2221.0240
147.3430,2218.3760
147.5930,2207.4720
147.8430,2208.7760
148.0930,2205.6000
148.3430,2209.5920
148.5930,2197.3280
148.8430,2188.5440
149.0930,2169.9360
149.3430,2145.9040
149.5930,2167.1440
149.8430,2182.0080
150.0930,2201.6800
150.3430,2208.4720
150.5930,2187.5520
150.8430,2176.4880
151.0930,2180.2400
151.3430,2170.5600
151.5930,2149.3760
151.8430,2131.3120
152.0930,2013.5200
152.3430,1881.1760
152.5930,1807.2800
152.8430,1762.5920
153.0930,1759.0480
153.3430,1734.9760
153.5930,1724.1200
153.8430,1712.6640
154.0930,1624.3600
154.3430,1582.5600
154.5930,1548.2160
154.8430,1519.4320
155.0930,1511.3440
155.3430,1505.0960
155.5930,1493.6880
155.8430,1487.7840
156.0930,1466.4480
156.3430,1454.4480
156.5930,1388.0080
156.8430,1369.2400
157.0930,1363.2800
157.3430,1349.8480
157.5930,1330.7120
157.8430,1304.8960
158.0930,1301.9360
158.3430,1325.3440
158.5930,1301.0960
158.8430,1290.7280
159.0930,1290.2800
159.3430,1285.7760
159.5930,1282.3120
159.8430,1279.3680
160.0930,1273.3680
160.3430,1261.4000
160.5930,1228.4960
160.8430,1205.1920
161.0930,1198.1920
161.3430,1193.7440
161.5930,1186.1520
161.8430,1180.5360
162.0930,1161.0400
162.3430,1136.5440
162.5930,1133.9760
162.8430,1132.7120
163.0930,1131.9200
163.3430,1133.4000
163.5930,1134.0880
163.8430,1134.5360
164.0930,1135.7920
164.3430,1136.0720
164.5930,1136.0400
164.8430,1136.2880
165.0930,1136.3120
165.3430,1136.2320
165.5930,1137.0960
165.8430,1136.1520
166.0930,1137.2240
166.3430,1137.6720
166.5930,1137.3280
166.8430,1137.2400
167.0930,1137.7120
167.3430,1137.4480
167.5930,1137.3920
167.8430,1137.4800
168.0930,1137.6080
168.3430,1136.5680
168.5930,1136.8160
168.8430,1137.2880
169.0930,1137.0800
169.3430,1137.2960
169.5930,1136.7920
169.8430,1137.2400
170.0930,1137.4640
170.3430,1137.7200
170.5930,1137.3040
170.8430,1139.0880
171.0930,1139.9520
171.3430,1140.0560
171.5930,1140.9360
171.8430,1140.5120
172.0930,1139.9760
172.3430,1140.4080
172.5930,1140.0480
172.8430,1139.3920
173.0930,1138.6000
173.3430,1138.7200
173.5930,1138.4560
173.8430,1137.8720
174.0930,1138.2560
174.3430,1138.0880
174.5930,1137.9120
174.8430,1137.2720
175.0930,1137.1840
175.3430,1137.3680
175.5930,1138.2240
175.8430,1136.9520
176.0930,1136.9840
176.3430,1137.7360
176.5930,1138.2160
176.8430,1138.4560
177.0930,1138.7520
177.3430,1139.1040
177.5930,1138.2400
177.8430,1139.8240
178.0930,1138.4480
178.3430,1138.1520
178.5930,1138.1360
178.8430,1138.4160
179.0930,1138.1680
179.3430,1138.0480
179.5930,1137.3360
179.8430,1138.0960
180.0930,1137.7680
180.3430,1137.8720
180.5930,1138.2320
180.8430,1137.8160
181.0930,1138.3360
181.3430,1138.5840
181.5930,1138.0560
