t_start_s,t_end_s,phase
0.000,30.000,REST
30.000,45.000,RAMP 1
45.000,65.000,HOLD 1
65.000,80.000,FALL 1
80.000,120.000,REST 1
120.000,135.000,RAMP 2
135.000,155.000,HOLD 2
155.000,170.000,FALL 2
170.000,210.000,REST 2
210.000,225.000,RAMP 3
225.000,245.000,HOLD 3
245.000,260.000,FALL 3
260.000,300.000,REST 3
