t_us,adc
38104000,0
38106000,0
38108000,0
38110000,0
38112001,0
38114000,0
38116000,0
38118000,0
38120000,0
38122000,0
38124000,0
38126000,0
38128000,0
38130001,0
38132000,0
38134000,0
38136000,0
38138000,0
38140000,0
38142000,0
38144000,0
38146000,0
38148000,0
38150000,0
38152001,0
38154000,0
38156000,0
38158000,0
38160000,0
38162000,0
38164000,0
38166000,0
38168000,0
38170000,0
38172000,0
38174000,0
38176000,0
38178000,0
38180000,0
38182000,0
38184000,0
38186000,0
38188000,0
38190000,0
38192000,0
38194000,0
38196000,0
38198000,0
38200000,0
38202000,0
38204000,0
38206000,0
38208000,0
38210000,0
38212000,0
38214000,0
38216001,0
38218001,0
38220000,0
38222000,0
38224001,0
38226000,0
38228000,0
38230000,0
38232000,0
38234000,0
38236000,0
38238000,0
38240000,0
38242001,0
38244001,0
38246001,0
38248000,0
38250000,0
38252000,0
38254000,0
38256000,0
38258001,0
38260000,0
38262000,0
38264000,0
38266000,0
38268000,0
38270000,0
38272000,0
38274000,0
38276000,0
38278000,0
38280000,0
38282000,0
38284000,0
38286000,0
38288000,0
38290000,0
38292000,0
38294000,0
38296000,0
38298001,0
38300000,0
38302000,0
38304001,0
38306000,0
38308001,0
38310001,0
38312000,0
38314000,0
38316001,0
38318001,0
38320000,0
38322000,0
38324000,0
38326000,0
38328001,0
38330001,0
38332000,0
38334001,0
38336001,0
38338001,0
38340001,0
38342001,0
38344001,0
38346000,0
38348001,0
38350000,0
38352000,0
38354000,0
38356000,0
38358000,0
38360000,0
38362000,0
38364000,0
38366001,0
38368001,0
38370000,0
38372001,0
38374000,0
38376000,0
38378000,0
38380000,0
38382000,0
38384000,0
38386000,0
38388000,0
38390001,0
38392000,0
38394000,0
38396000,0
38398001,0
38400000,0
38402001,0
38404000,0
38406000,0
38408000,0
38410000,0
38412001,0
38414000,0
38416001,0
38418000,0
38420000,0
38422000,0
38424000,0
38426001,0
38428000,0
38430001,0
38432000,0
38434000,0
38436000,0
38438000,0
38440000,0
38442000,0
38444000,0
38446000,0
38448001,0
38450000,0
38452000,0
38454000,0
38456000,0
38458000,0
38460000,0
38462000,0
38464000,0
38466000,0
38468000,0
38470000,0
38472000,0
38474000,0
38476000,0
38478000,0
38480000,0
38482000,0
38484001,0
38486001,0
38488001,0
38490000,0
38492001,0
38494001,0
38496001,0
38498000,0
38500000,0
38502001,0
38504000,0
38506000,0
38508000,0
38510001,0
38512000,0
38514000,0
38516000,0
38518000,0
38520000,0
38522000,0
38524000,0
38526000,0
38528000,0
38530000,0
38532000,0
38534000,0
38536000,0
38538000,0
38540000,0
38542000,0
38544000,0
38546000,0
38548000,0
38550001,0
38552000,0
38554000,0
38556000,0
38558000,0
38560000,0
38562001,0
38564001,0
38566000,0
38568000,0
38570001,0
38572001,0
38574000,0
38576000,0
38578000,0
38580001,0
38582000,0
38584000,0
38586000,0
38588001,0
38590001,0
38592001,0
38594001,0
38596000,0
38598000,0
38600000,0
38602000,0
38604000,0
38606000,0
38608000,0
38610000,0
38612000,0
38614000,0
38616000,0
38618000,0
38620000,0
38622000,0
38624000,0
38626000,0
38628000,0
38630000,0
38632000,0
38634000,0
38636000,0
38638000,0
38640000,0
38642000,0
38644000,0
38646000,0
38648000,0
38650000,0
38652000,0
38654001,0
38656001,0
38658000,0
38660000,0
38662000,0
38664000,0
38666000,0
38668000,0
38670000,0
38672000,0
38674000,0
38676000,0
38678000,0
38680000,0
38682000,0
38684000,0
38686001,0
38688000,0
38690001,0
38692001,0
38694001,0
38696001,0
38698000,0
38700001,0
38702000,0
38704000,0
38706000,0
38708000,0
38710000,0
38712000,0
38714001,0
38716001,0
38718001,0
38720000,0
38722000,0
38724000,0
38726000,0
38728000,0
38730000,0
38732000,0
38734000,0
38736000,0
38738000,0
38740000,0
38742000,0
38744000,0
38746000,0
38748000,0
38750000,0
38752000,0
38754001,0
38756000,0
38758000,0
38760000,0
38762001,0
38764000,0
38766000,0
38768000,0
38770000,0
38772000,0
38774000,0
38776000,0
38778001,0
38780001,0
38782001,0
38784001,0
38786001,0
38788000,0
38790000,0
38792000,0
38794000,0
38796000,0
38798000,0
38800000,0
38802000,0
38804000,0
38806000,0
38808000,0
38810001,0
38812000,0
38814000,0
38816001,0
38818000,0
38820000,0
38822000,0
38824000,0
38826000,0
38828000,0
38830000,0
38832000,0
38834000,0
38836000,0
38838000,0
38840000,0
38842000,0
38844000,0
38846000,0
38848000,0
38850001,0
38852001,0
38854000,0
38856001,0
38858000,0
38860000,0
38862001,0
38864000,0
38866000,0
38868000,0
38870001,0
38872000,0
38874001,0
38876001,0
38878001,0
38880000,0
38882000,0
38884001,0
38886000,0
38888000,0
38890000,0
38892000,0
38894000,0
38896000,0
38898000,0
