detected,TP,FP,FN,sensitivity,PPV,DER,timing_mae_ms,fp_in_gap,fp_outside_span,fp_genuine,fp_in_span,fp_frac_in_gap,record,channel,group,gestation_weeks,ref_beats,units,fs,n_gaps,supplementary
1761,1620,141,0,1.0,0.919931856899489,0.08703703703703704,2.0709876543209877,140,1,0,140,1.0,ecgca733.edf,Thorax_2,thoracic,38.0,1620,mV,1000.0,140,False
1761,1620,141,0,1.0,0.919931856899489,0.08703703703703704,9.368518518518519,140,1,0,140,1.0,ecgca733.edf,Abdomen_1,abdominal,38.0,1620,uV,1000.0,140,False
1766,1620,146,0,1.0,0.9173272933182333,0.09012345679012346,9.284567901234569,140,1,5,145,0.9655172413793104,ecgca733.edf,Abdomen_2,abdominal,38.0,1620,uV,1000.0,140,False
1761,1620,141,0,1.0,0.919931856899489,0.08703703703703704,8.945679012345678,140,1,0,140,1.0,ecgca733.edf,Abdomen_3,abdominal,38.0,1620,uV,1000.0,140,False
1767,1620,147,0,1.0,0.9168081494057725,0.09074074074074075,7.783950617283951,141,1,5,146,0.9657534246575342,ecgca733.edf,Abdomen_4,abdominal,38.0,1620,uV,1000.0,140,False
1238,1135,103,0,1.0,0.9168012924071083,0.0907488986784141,6.0123348017621145,103,0,0,103,1.0,ecgca746.edf,Thorax_1,thoracic,39.857142857142854,1135,mV,1000.0,103,False
1238,1135,103,0,1.0,0.9168012924071083,0.0907488986784141,5.986784140969163,103,0,0,103,1.0,ecgca746.edf,Thorax_2,thoracic,39.857142857142854,1135,mV,1000.0,103,False
1238,1135,103,0,1.0,0.9168012924071083,0.0907488986784141,6.340088105726872,103,0,0,103,1.0,ecgca746.edf,Abdomen_1,abdominal,39.857142857142854,1135,uV,1000.0,103,False
1242,1135,107,0,1.0,0.9138486312399355,0.09427312775330396,5.852863436123348,103,0,4,107,0.9626168224299065,ecgca746.edf,Abdomen_2,abdominal,39.857142857142854,1135,uV,1000.0,103,False
1241,1135,106,0,1.0,0.9145850120870266,0.0933920704845815,5.92511013215859,103,0,3,106,0.9716981132075472,ecgca746.edf,Abdomen_3,abdominal,39.857142857142854,1135,uV,1000.0,103,False
1242,1134,108,1,0.9991189427312775,0.9130434782608695,0.0960352422907489,5.01058201058201,105,0,3,108,0.9722222222222222,ecgca746.edf,Abdomen_4,abdominal,39.857142857142854,1135,uV,1000.0,103,False
477,451,26,0,1.0,0.9454926624737946,0.057649667405764965,27.09090909090909,25,1,0,25,1.0,ecgca748.edf,Thorax_1,thoracic,22.142857142857142,451,mV,1000.0,25,False
477,451,26,0,1.0,0.9454926624737946,0.057649667405764965,24.13082039911308,25,1,0,25,1.0,ecgca748.edf,Thorax_2,thoracic,22.142857142857142,451,mV,1000.0,25,False
477,451,26,0,1.0,0.9454926624737946,0.057649667405764965,7.341463414634147,25,1,0,25,1.0,ecgca748.edf,Abdomen_1,abdominal,22.142857142857142,451,uV,1000.0,25,False
478,451,27,0,1.0,0.9435146443514645,0.0598669623059867,7.532150776053215,25,1,1,26,0.9615384615384616,ecgca748.edf,Abdomen_2,abdominal,22.142857142857142,451,uV,1000.0,25,False
477,451,26,0,1.0,0.9454926624737946,0.057649667405764965,8.004434589800443,25,1,0,25,1.0,ecgca748.edf,Abdomen_3,abdominal,22.142857142857142,451,uV,1000.0,25,False
4053,3739,314,0,1.0,0.922526523562793,0.08397967370954801,14.62877774806098,313,0,1,314,0.9968152866242038,ecgca771.edf,Thorax_1,thoracic,39.857142857142854,3739,mV,1000.0,313,False
4055,3739,316,0,1.0,0.9220715166461159,0.0845145760898636,27.326290451992513,313,0,3,316,0.990506329113924,ecgca771.edf,Thorax_2,thoracic,39.857142857142854,3739,mV,1000.0,313,False
4061,3739,322,0,1.0,0.9207091849298202,0.08611928323081038,11.746991174110725,313,0,9,322,0.9720496894409938,ecgca771.edf,Abdomen_1,abdominal,39.857142857142854,3739,uV,1000.0,313,False
5455,3620,1835,119,0.9681733083712223,0.6636113657195234,0.5225996255683337,18.816850828729283,543,0,1292,1835,0.2959128065395095,ecgca771.edf,Abdomen_2,abdominal,39.857142857142854,3739,uV,1000.0,313,False
5013,3696,1317,43,0.9884995988232148,0.7372830640335128,0.36373361861460285,15.884740259740262,488,0,829,1317,0.3705391040242976,ecgca771.edf,Abdomen_3,abdominal,39.857142857142854,3739,uV,1000.0,313,False
4640,3668,972,71,0.9810109654987965,0.7905172413793103,0.2789515913345814,16.757906215921484,415,0,557,972,0.4269547325102881,ecgca771.edf,Abdomen_4,abdominal,39.857142857142854,3739,uV,1000.0,313,False
