# pcg_capture max4466 pin=39 fs=500 att=11db
# captured 20260905_134318 port=COM8 tag=chest_air_batt_p74
t_us,adc
1040001,1913
1042000,1912
1044001,1913
1046001,1911
1048001,1914
1050001,1915
1052000,1941
1054001,1915
1056000,1911
1058001,1911
1060001,1911
1062001,1911
1064001,1914
1066000,1915
1068000,1915
1070000,1914
1072000,1915
1074001,1915
1076001,1914
1078001,1914
1080001,1915
1082000,1911
1084001,1914
1086000,1914
1088001,1917
1090000,1914
1092001,1917
1094000,1909
1096001,1914
1098000,1911
1100000,1909
1102001,1911
1104001,1914
1106000,1915
1108000,1917
1110001,1914
1112000,1911
1114000,1919
1116001,1917
1118001,1914
1120001,1911
1122001,1914
1124001,1913
1126001,1914
1128001,1915
1130001,1919
1132000,1917
1134000,1916
1136000,1916
1138001,1904
1140001,1913
1142000,1914
1144001,1914
1146001,1915
1148001,1911
1150001,1919
1152001,1917
1154000,1915
1156001,1915
1158001,1909
1160000,1909
1162001,1911
1164000,1909
1166000,1914
1168001,1916
1170001,1913
1172000,1915
1174000,1915
1176001,1915
1178001,1918
1180000,1911
1182001,1910
1184001,1913
1186000,1914
1188000,1914
1190000,1914
1192000,1918
1194000,1917
1196000,1917
1198000,1914
1200001,1911
1202001,1913
1204001,1913
1206001,1914
1208000,1914
1210001,1915
1212001,1915
1214001,1914
1216001,1910
1218000,1914
1220001,1911
1222001,1910
1224001,1914
1226000,1915
1228001,1919
1230001,1915
1232000,1915
1234001,1917
1236001,1914
1238000,1911
1240001,1922
1242001,1911
1244001,1915
1246000,1911
1248001,1914
1250001,1914
1252001,1915
1254000,1914
1256001,1911
1258001,1908
1260001,1913
1262001,1910
1264000,1917
1266000,1916
1268000,1917
1270000,1910
1272001,1913
1274001,1915
1276000,1909
1278001,1911
1280001,1913
1282000,1915
1284000,1911
1286001,1918
1288001,1911
1290001,1914
1292001,1917
1294000,1914
1296000,1914
1298000,1915
1300001,1911
1302001,1914
1304000,1915
1306001,1889
1308001,1914
1310001,1914
1312001,1915
1314001,1915
1316000,1916
1318000,1914
1320001,1910
1322001,1910
1324000,1914
1326000,1942
