t_s,uc
0.126000,1505.7920
0.376000,1505.8560
0.626000,1506.4320
0.876000,1506.2880
1.126000,1506.7120
1.376000,1506.5440
1.626000,1506.4800
1.876000,1506.3920
2.126000,1506.1840
2.376000,1506.0400
2.626000,1505.9040
2.876000,1506.8480
3.126000,1506.2960
3.376000,1506.1120
3.626000,1507.0320
3.876000,1507.3360
4.126000,1505.8400
4.376000,1506.4160
4.626000,1505.7760
4.876000,1506.6560
5.126000,1505.9760
5.376000,1506.9200
5.626000,1506.4480
5.876000,1506.3200
6.126000,1506.2080
6.376000,1505.8560
6.626000,1505.7760
6.876000,1506.7520
7.126000,1506.4640
7.376000,1506.9200
7.626000,1505.9680
7.876000,1509.7520
8.126000,1511.1600
8.376000,1510.7120
8.626000,1510.9120
8.876000,1510.8480
9.126000,1510.8480
9.376000,1510.4960
9.626001,1509.2240
9.876000,1510.0400
10.126000,1510.7840
10.376000,1510.3360
10.626000,1510.6960
10.876001,1509.3200
11.126000,1510.2320
11.376000,1509.6400
11.626000,1509.1600
11.876000,1510.7680
12.126000,1510.5600
12.376000,1509.5200
12.626000,1509.5040
12.876000,1510.1360
13.126000,1510.1040
13.376000,1509.9840
13.626000,1510.0960
13.876000,1510.3840
14.126000,1510.3840
14.376000,1511.1360
14.626000,1509.6400
14.876000,1510.1440
15.126000,1509.6640
15.376000,1510.1200
15.626000,1509.6720
15.876000,1510.0160
16.126000,1509.9520
16.376000,1509.9920
16.626000,1510.2960
16.876000,1510.4720
17.126000,1510.3760
17.376001,1509.8080
17.626000,1509.9520
17.876000,1509.9040
18.126000,1510.1360
18.376000,1510.1280
18.626000,1510.1760
18.876000,1509.4480
19.126000,1510.2560
19.376000,1510.1920
19.626000,1509.3440
19.876000,1509.0320
20.126000,1509.3760
20.376000,1509.2800
20.626000,1509.6320
20.876000,1509.8240
21.126000,1509.6800
21.376000,1509.6720
21.626000,1509.3760
21.876000,1509.4640
22.126000,1509.7360
22.376000,1508.4560
22.626000,1509.2240
22.876000,1509.4320
