t_s,uc
0.126000,1508.6640
0.376000,1507.5520
0.626000,1508.5440
0.876000,1508.9840
1.126001,1509.3280
1.376000,1509.4800
1.626000,1508.9520
1.876000,1508.9840
2.126001,1509.3200
2.376001,1509.2720
2.626000,1509.6960
2.876000,1510.6560
3.126001,1509.7120
3.376001,1510.0160
3.626000,1509.9520
3.876000,1510.1440
4.126000,1510.3280
4.376001,1510.6800
4.626000,1510.6720
4.876001,1510.0160
5.126000,1510.2880
5.376000,1510.3600
5.626000,1510.8720
5.876000,1510.8960
6.126000,1510.4720
6.376001,1510.0880
6.626000,1510.6400
6.876001,1510.9120
7.126000,1510.9760
7.376000,1510.6080
7.626001,1509.2960
7.876001,1511.4240
8.126000,1510.9200
8.376000,1510.8800
8.626000,1510.7520
8.876000,1510.4640
9.126000,1510.6240
9.376000,1509.9760
9.626000,1510.5520
9.876001,1510.8400
10.126000,1510.5760
10.376001,1511.1360
10.626000,1510.6880
10.876001,1510.3840
11.126000,1510.3680
11.376001,1509.8240
11.626000,1509.5040
11.876000,1510.0000
12.126001,1509.5840
12.376001,1508.9920
12.626000,1509.7520
12.876000,1509.4720
13.126000,1509.6800
13.376001,1509.7600
13.626001,1509.4320
13.876000,1509.2320
14.126001,1509.7920
14.376000,1509.8480
14.626000,1510.0720
14.876000,1509.0640
15.126000,1510.4240
15.376001,1509.7840
15.626000,1509.9760
15.876000,1510.2400
16.126000,1510.1840
16.376000,1510.5440
16.626000,1510.0960
16.876000,1509.6080
17.126000,1509.9040
17.376000,1508.9840
17.626000,1511.7200
17.876000,1510.6000
18.126001,1509.8560
18.376000,1510.4560
18.626000,1509.6240
18.876000,1509.7040
19.126000,1509.9840
19.376000,1509.7520
19.626000,1509.8160
19.876000,1510.1680
20.126001,1510.3920
20.376000,1509.2880
20.626000,1509.3440
20.876000,1509.8960
21.126000,1509.5760
21.376000,1509.7440
21.626000,1509.3200
21.876000,1509.5920
22.126000,1509.5440
22.376000,1511.6960
22.626000,1509.7680
22.876000,1509.8560
23.126000,1510.0560
23.376000,1509.5760
23.626000,1509.8960
23.876000,1509.9440
24.126000,1510.1280
24.376000,1509.8960
24.626000,1509.6960
24.876000,1509.5840
25.126000,1510.2880
25.376001,1509.8960
25.626000,1509.6640
25.876000,1509.1040
26.126000,1509.1360
26.376000,1509.2240
26.626000,1509.0800
26.876000,1509.2400
27.126000,1508.9600
27.376000,1509.8800
27.626000,1508.9040
27.876000,1509.1040
28.126000,1509.6320
28.376000,1509.4720
28.626000,1509.3600
28.876000,1509.3680
29.126000,1508.9200
29.376000,1509.2960
29.626000,1507.6560
29.876001,1511.9840
30.126000,1510.9040
30.376000,1510.9280
30.626000,1510.3360
30.876000,1510.2400
31.126000,1510.2800
31.376000,1510.1600
31.626000,1509.7120
31.876001,1509.6880
32.126000,1509.8560
32.376000,1510.6000
32.626001,1510.1120
32.876000,1510.0960
33.126000,1509.6960
33.376000,1510.0880
33.626001,1510.5200
33.876000,1510.4640
34.126000,1509.6240
34.376000,1509.9520
34.626001,1510.2320
34.876000,1509.9520
35.126000,1510.0160
35.376000,1510.0000
35.626000,1510.1920
35.876000,1510.1520
36.126000,1510.1840
36.376000,1509.7680
36.626000,1510.0560
36.876001,1510.5200
37.126001,1510.1760
37.376000,1510.9280
37.626000,1509.6880
37.876000,1509.6080
38.126000,1509.4960
38.376000,1510.6720
38.626000,1510.5840
38.876000,1510.3360
39.126000,1509.6240
39.376000,1509.9200
39.626000,1508.5360
39.876001,1509.5040
40.126000,1509.7520
40.376000,1508.7840
40.626001,1509.6720
40.876000,1510.2880
41.126000,1509.5120
41.376000,1509.9760
41.626000,1509.3200
41.876000,1509.7120
42.126000,1510.2640
42.376001,1510.0560
42.626000,1509.4640
42.876000,1509.0480
43.126000,1508.9680
43.376000,1508.7520
43.626000,1508.9840
43.876000,1509.0400
44.126000,1508.9520
44.376000,1508.7680
44.626001,1508.9360
44.876000,1509.6000
45.126000,1508.5920
45.376000,1508.3360
45.626000,1508.6080
45.876001,1508.2160
46.126000,1508.3200
46.376000,1508.5520
46.626001,1508.3760
46.876000,1507.7280
47.126000,1508.3040
47.376000,1508.6800
47.626000,1509.1600
47.876000,1508.5120
48.126000,1508.1520
48.376001,1508.5360
48.626000,1508.9440
48.876000,1509.6400
49.126000,1508.3120
49.376000,1508.2480
49.626000,1508.5280
49.876000,1509.1040
50.126000,1507.8400
50.376000,1509.0480
50.626000,1508.1520
50.876000,1508.3680
51.126000,1508.1280
51.376000,1509.0640
51.626000,1508.8320
51.876001,1508.3840
52.126000,1509.1600
52.376000,1508.8640
52.626000,1509.4320
52.876000,1509.5920
53.126000,1508.5920
53.376000,1508.9040
53.626000,1507.9840
53.876001,1508.5920
54.126000,1509.1440
54.376000,1508.1040
54.626000,1508.5440
54.876001,1509.1920
55.126001,1508.9440
55.376000,1508.9920
55.626000,1508.3280
55.876000,1508.9280
56.126000,1509.8160
56.376000,1510.2880
56.626001,1509.3280
56.876000,1508.7600
57.126000,1508.8640
57.376000,1507.9280
57.626000,1508.2240
57.876000,1508.9200
58.126000,1508.2400
58.376000,1509.9840
58.626000,1508.6960
58.876000,1509.0960
59.126000,1509.0640
59.376000,1509.1280
59.626000,1509.1680
59.876000,1508.0240
60.126000,1508.6720
60.376000,1510.0880
60.626000,1508.9840
60.876000,1509.9200
61.126000,1508.6080
61.376000,1507.7280
61.626000,1508.8560
61.876000,1508.2240
62.126000,1508.1200
62.376000,1508.6000
62.626000,1509.1760
62.876000,1508.3840
63.126000,1507.5280
63.376000,1508.5760
63.626000,1509.4640
63.876000,1509.0240
64.126000,1508.6320
64.376000,1509.5440
64.626001,1509.2160
64.876000,1509.0640
65.126001,1508.3920
65.376000,1508.7280
65.626001,1510.8000
65.876000,1510.4960
66.126000,1509.0800
66.376001,1509.3840
66.626001,1510.1200
66.876000,1509.7040
67.126000,1509.8560
67.376000,1509.9600
67.626000,1509.7520
67.876000,1508.5440
68.126000,1509.8480
68.376001,1509.2000
68.626000,1509.3440
68.876000,1509.7040
69.126000,1509.6480
69.376000,1509.5040
69.626000,1509.1680
69.876000,1509.7040
70.126001,1509.6960
70.376000,1509.9440
70.626000,1510.1440
70.876000,1509.5520
71.126000,1509.2240
71.376000,1509.7760
71.626000,1508.6240
71.876001,1509.4800
72.126000,1508.4800
72.376001,1509.1200
72.626000,1509.6800
72.876000,1510.2800
73.126000,1509.5600
73.376001,1510.3600
73.626000,1509.6560
73.876001,1509.9040
74.126001,1509.1840
74.376000,1510.3680
74.626000,1510.3360
74.876000,1510.7440
75.126000,1510.1120
75.376001,1509.4880
75.626000,1509.2240
75.876001,1510.2800
76.126000,1509.6080
76.376000,1509.7520
76.626000,1510.5440
76.876001,1510.9520
77.126000,1510.1120
77.376000,1508.9520
77.626000,1509.6080
77.876000,1509.1280
78.126000,1509.6960
78.376000,1509.3760
78.626000,1510.4720
78.876000,1510.0480
79.126000,1509.3040
79.376000,1510.4560
79.626000,1511.0080
79.876000,1510.6320
80.126001,1510.5920
80.376000,1510.2320
80.626000,1510.5120
80.876000,1509.9680
81.126000,1510.0480
81.376000,1509.8080
81.626001,1509.5440
81.876001,1509.1680
82.126001,1509.8640
82.376000,1509.5200
82.626000,1509.7120
82.876000,1509.6080
83.126000,1507.1920
83.376000,1509.2000
83.626000,1509.7920
83.876001,1509.8160
84.126000,1509.1600
84.376000,1509.2720
84.626000,1510.1840
84.876000,1509.4560
85.126001,1509.4400
85.376001,1508.1360
85.626000,1508.7840
85.876000,1509.5040
86.126001,1509.5840
86.376000,1509.2400
86.626000,1510.4480
86.876001,1510.7920
87.126001,1510.6400
87.376000,1510.8560
87.626000,1511.0160
87.876001,1510.6400
88.126001,1510.9200
88.376001,1511.2960
88.626000,1511.1280
88.876000,1512.1600
89.126001,1511.6480
89.376000,1511.1520
89.626000,1511.1520
89.876001,1510.8400
